id,text,pos_tags
50,Hamburg 3 2 0 1 7 3 6,Hamburg/NNP 3/CD 2/CD 0/CD 1/CD 7/CD 3/CD 6/CD
51,DETROIT 47 83 .362 27 1/2,DETROIT/NNP 47/CD 83/CD .362/JJ 27/CD 1/2/CD
52,CALIFORNIA AT BALTIMORE,CALIFORNIA/NN AT/NNP BALTIMORE/NNP
53,"Nevertheless I am satisfied that the overall benefits will be worthwile , "" Lord Goschen , minister for aviation , said in a statement .","Nevertheless/RB I/PRP am/VBP satisfied/JJ that/IN the/DT overall/JJ benefits/NNS will/MD be/VB worthwile/JJ ,/, ``/`` Lord/NNP Goschen/NNP ,/, minister/NN for/IN aviation/NN ,/, said/VBD in/IN a/DT statement/NN ./."
54,Ulsan 1 0 1 6 6 3,Ulsan/NNP 1/CD 0/CD 1/CD 6/CD 6/CD 3/CD
55,It was the first time the president had been shown on television since he was inaugurated for a second term in office on August 9 .,It/PRP was/VBD the/DT first/JJ time/NN the/DT president/NN had/VBD been/VBN shown/VBN on/IN television/NN since/IN he/PRP was/VBD inaugurated/VBN for/IN a/DT second/JJ term/NN in/IN office/NN on/IN August/NNP 9/CD ./.
56,"Software services company Keane Inc said it had won a year 2000 compliance contract from Life Insurance Co of Georgia and Southland Life Insurance Co , both part of The Netherlands ' ING Group .","Software/NNP services/NNS company/NN Keane/NNP Inc/NNP said/VBD it/PRP had/VBD won/VBN a/DT year/NN 2000/CD compliance/NN contract/NN from/IN Life/NNP Insurance/NNP Co/NNP of/IN Georgia/NNP and/CC Southland/NNP Life/NNP Insurance/NNP Co/NNP ,/, both/DT part/NN of/IN The/DT Netherlands/NNP '/POS ING/NNP Group/NNP ./."
57,Sao Paulo 4 3 1 0 10 5 10,Sao/NNP Paulo/NNP 4/CD 3/CD 1/CD 0/CD 10/CD 5/CD 10/CD
58,Bystanders at the scene said work had begun on the building in 1991 and it had yet to be completed when the Israeli police bulldozed it .,Bystanders/NNS at/IN the/DT scene/NN said/VBD work/NN had/VBD begun/VBN on/IN the/DT building/NN in/IN 1991/CD and/CC it/PRP had/VBD yet/RB to/TO be/VB completed/VBN when/WRB the/DT Israeli/NNP police/NNS bulldozed/VBD it/PRP ./.
59,"December COMEX settled 0.35 cent higher at 90.20 cents , traded 90.50 to 89.40 cents .","December/NNP COMEX/NNP settled/VBD 0.35/CD cent/NN higher/JJR at/IN 90.20/CD cents/NNS ,/, traded/VBD 90.50/CD to/TO 89.40/CD cents/NNS ./."
60,"Tactics used by some underground groups including the cryptic Berkshire Wood Elves , which distribute leaflets with instructions on home-made explosives , are now the subject of a police investigation .","Tactics/NNS used/VBN by/IN some/DT underground/JJ groups/NNS including/VBG the/DT cryptic/JJ Berkshire/NNP Wood/NNP Elves/NNP ,/, which/WDT distribute/VBZ leaflets/NNS with/IN instructions/NNS on/IN home-made/JJ explosives/NNS ,/, are/VBP now/RB the/DT subject/NN of/IN a/DT police/NN investigation/NN ./."
61,"Noranda aluminum , U.S. Midwest ( effective date:August 1 , 1996 )","Noranda/NNP aluminum/NN ,/, U.S./NNP Midwest/NNP (/( effective/JJ date/NN :/: August/NNP 1/CD ,/, 1996/CD )/)"
62,( in billions of yen unless specified ),(/( in/IN billions/NNS of/IN yen/NN unless/IN specified/VBN )/)
63,That allowed him to be moved to a semi-upright position .,That/DT allowed/VBD him/PRP to/TO be/VB moved/VBN to/TO a/DT semi-upright/JJ position/NN ./.
64,race on Sunday .,race/NN on/IN Sunday/NNP ./.
65,5 - Thomas Enqvist ( Sweden ) beat Petr Korda ( Czech Republic ),5/CD -/: Thomas/NNP Enqvist/NNP (/( Sweden/NNP )/) beat/NN Petr/NNP Korda/NNP (/( Czech/NNP Republic/NNP )/)
66,Wisla Krakow 7 2 3 2 3 4 9,Wisla/NNP Krakow/NNP 7/CD 2/CD 3/CD 2/CD 3/CD 4/CD 9/CD
67,"Attendance 7,000","Attendance/NN 7,000/CD"
68,He took a positive first step with his 6-3 1-6 6-1 7-5 win over compatriot Haas on a sun-baked Grandstand court .,He/PRP took/VBD a/DT positive/JJ first/JJ step/NN with/IN his/PRP$ 6-3/JJ 1-6/JJ 6-1/JJ 7-5/JJ win/NN over/IN compatriot/JJ Haas/NNP on/IN a/DT sun-baked/JJ Grandstand/NNP court/NN ./.
69,"12,000 .","12,000/CD ./."
70,This was a big game .,This/DT was/VBD a/DT big/JJ game/NN ./.
71,Paul Haarhuis ( Netherlands ) beat Michael Joyce ( U.S ) 6-7,Paul/NNP Haarhuis/NNP (/( Netherlands/NNP )/) beat/NN Michael/NNP Joyce/NNP (/( U.S/NNP )/) 6-7/NN
72,Wolverhampton 3 2 1 0 5 2 7,Wolverhampton/NNP 3/CD 2/CD 1/CD 0/CD 5/CD 2/CD 7/CD
73,9 ( 63 ) Hawthorn 12 .,9/CD (/( 63/CD )/) Hawthorn/$ 12/CD ./.
74,Fortuna Sittard 2 Heerenveen 4,Fortuna/NNP Sittard/NNP 2/CD Heerenveen/NNP 4/CD
75,Carlton 13.18 ( 96 ) Footscray 9.12 ( 66 ),Carlton/NNP 13.18/CD (/( 96/CD )/) Footscray/NN 9.12/CD (/( 66/CD )/)
76,Now she feels she is in the swing of things .,Now/RB she/PRP feels/VBZ she/PRP is/VBZ in/IN the/DT swing/NN of/IN things/NNS ./.
77,Jon Preston .,Jon/NNP Preston/NNP ./.
78,( Guivarc'h 60th pen .,(/( Guivarc/NNP '/POS h/NN 60th/CD pen/NN ./.
79,MORAV.CHEMIC. ZAV .,MORAV.CHEMIC/NNP ./. ZAV/NNP ./.
80,Stefan Edberg produced some of his vintage best on Tuesday to extend his grand run at the Grand Slams by toppling Wimbledon champion Richard Krajicek in straight sets at the U.S. Open .,Stefan/NNP Edberg/NNP produced/VBD some/DT of/IN his/PRP$ vintage/NN best/JJS on/IN Tuesday/NNP to/TO extend/VB his/PRP$ grand/JJ run/NN at/IN the/DT Grand/NNP Slams/NNP by/IN toppling/VBG Wimbledon/NNP champion/NN Richard/NNP Krajicek/NNP in/IN straight/JJ sets/NNS at/IN the/DT U.S./NNP Open/NNP ./.
81,"WEDNESDAY , AUGUST 28TH SCHEDULE","WEDNESDAY/NNP ,/, AUGUST/NNP 28TH/CD SCHEDULE/NN"
82,"There was also concern over injuries to Paul Gascoigne , Les Ferdinand and David Batty .","There/EX was/VBD also/RB concern/NN over/IN injuries/NNS to/TO Paul/NNP Gascoigne/NNP ,/, Les/NNP Ferdinand/NNP and/CC David/NNP Batty/NNP ./."
83,""" The new evidence to me means some of that proposal should be re-examined because we could get away with considerably less animals being culled if in fact scientists throughout Europe accepted this evidence , "" Naish said .","``/`` The/DT new/JJ evidence/NN to/TO me/PRP means/VBZ some/DT of/IN that/DT proposal/NN should/MD be/VB re-examined/JJ because/IN we/PRP could/MD get/VB away/RP with/IN considerably/RB less/JJR animals/NNS being/VBG culled/VBN if/IN in/IN fact/NN scientists/NNS throughout/IN Europe/NNP accepted/VBD this/DT evidence/NN ,/, ``/`` Naish/NNP said/VBD ./."
84,Palmeiras 5 2 3 0 8 1 9,Palmeiras/NNS 5/CD 2/CD 3/CD 0/CD 8/CD 1/CD 9/CD
85,The tempest beyond the test tube involves allegations that the U.S. Food and Drug Administration violated the Orphan Drug law by allowing Biogen the right to sell its multiple sclerosis drug Avonex .,The/DT tempest/JJS beyond/IN the/DT test/NN tube/NN involves/VBZ allegations/NNS that/IN the/DT U.S./NNP Food/NNP and/CC Drug/NNP Administration/NNP violated/VBD the/DT Orphan/NNP Drug/NNP law/NN by/IN allowing/VBG Biogen/NNP the/DT right/NN to/TO sell/VB its/PRP$ multiple/JJ sclerosis/JJ drug/NN Avonex/NNP ./.
86,""" From an earnings perspective , the current fiscal year has begun with great promise due to the hit motion picture ' Independence Day , ' "" News Corp said in a statement announcing its results for the year to June 30 , 1996 .","``/`` From/IN an/DT earnings/NNS perspective/NN ,/, the/DT current/JJ fiscal/JJ year/NN has/VBZ begun/VBN with/IN great/JJ promise/NN due/JJ to/TO the/DT hit/NN motion/NN picture/NN '/'' Independence/NNP Day/NNP ,/, '/'' ``/`` News/NNP Corp/NNP said/VBD in/IN a/DT statement/NN announcing/VBG its/PRP$ results/NNS for/IN the/DT year/NN to/TO June/NNP 30/CD ,/, 1996/CD ./."
87,Guadalajara 5 America 0,Guadalajara/NNP 5/CD America/NNP 0/CD
88,"-- Dimitris Kontogiannis , Athens Newsroom +301 3311812-4","--/: Dimitris/NNP Kontogiannis/NNP ,/, Athens/NNP Newsroom/NNP +301/NNP 3311812-4/JJ"
89,"Pinas , showing cuts and bruises on his face , told reporters the former head of the feared Jungle Command had tried and failed to shoot him after Pinas objected to Brunswijk 's advances toward his wife .","Pinas/NNP ,/, showing/VBG cuts/NNS and/CC bruises/NNS on/IN his/PRP$ face/NN ,/, told/VBD reporters/NNS the/DT former/JJ head/NN of/IN the/DT feared/JJ Jungle/NNP Command/NNP had/VBD tried/VBN and/CC failed/VBN to/TO shoot/VB him/PRP after/IN Pinas/NNP objected/VBD to/TO Brunswijk/NNP 's/POS advances/NNS toward/IN his/PRP$ wife/NN ./."
90,The outcome of the November elections emerged as a hot topic on Wall Street this week as financial pundits debated whether Robert Rubin might forgo a second term as Treasury secretary if President Clinton is re-elected .,The/DT outcome/NN of/IN the/DT November/NNP elections/NNS emerged/VBD as/IN a/DT hot/JJ topic/NN on/IN Wall/NNP Street/NNP this/DT week/NN as/IN financial/JJ pundits/NNS debated/VBD whether/IN Robert/NNP Rubin/NNP might/MD forgo/VB a/DT second/JJ term/NN as/IN Treasury/NNP secretary/NN if/IN President/NNP Clinton/NNP is/VBZ re-elected/JJ ./.
91,"-- Dimitris Kontogiannis , Athens Newsroom +301 3311812-4","--/: Dimitris/NNP Kontogiannis/NNP ,/, Athens/NNP Newsroom/NNP +301/NNP 3311812-4/JJ"
92,Quarterly,Quarterly/JJ
93,Shanghai-Ek Chor is jointly owned by the Shanghai Automobile Corporation and Ek Chor China Motorcycle .,Shanghai-Ek/JJ Chor/NNP is/VBZ jointly/RB owned/VBN by/IN the/DT Shanghai/NNP Automobile/NNP Corporation/NNP and/CC Ek/NNP Chor/NNP China/NNP Motorcycle/NNP ./.
94,Men 's pole vault,Men/NN 's/POS pole/NN vault/NN
95,MOODY AA1 LISTING LUX PAY FREQ =,MOODY/NNP AA1/NNP LISTING/NNP LUX/NNP PAY/NNP FREQ/NNP =/NN
96,Matahari revises down 1996 net target .,Matahari/NNP revises/VBZ down/RB 1996/CD net/JJ target/NN ./.
97,Sales 148.29 vs 133.82,Sales/NNS 148.29/CD vs/NNS 133.82/CD
98,TORONTO 1996-08-21,TORONTO/CD 1996-08-21/JJ
99,"He said former PSG team mate David Ginola , who now plays for English premier league Newcastle , was influential in his move to Scotland .","He/PRP said/VBD former/JJ PSG/NNP team/NN mate/NN David/NNP Ginola/NNP ,/, who/WP now/RB plays/VBZ for/IN English/NNP premier/NNP league/NN Newcastle/NNP ,/, was/VBD influential/JJ in/IN his/PRP$ move/NN to/TO Scotland/NNP ./."
100,American League,American/NNP League/NNP
101,CALIFORNIA 60 68 .469 13 1/2,CALIFORNIA/NNP 60/CD 68/CD .469/JJ 13/CD 1/2/CD
102,11 - MaliVai Washington ( U.S. ) beat Karim Alami ( Morocco ) 6-4 2-6 7-6 ( 7-5 ) 6-1,11/CD -/: MaliVai/NNP Washington/NNP (/( U.S./NNP )/) beat/NN Karim/NNP Alami/NNP (/( Morocco/NNP )/) 6-4/JJ 2-6/JJ 7-6/JJ (/( 7-5/JJ )/) 6-1/NN
103,S. African apartheid killer convicted of six murders .,S./NNP African/NNP apartheid/NN killer/NN convicted/VBD of/IN six/CD murders/NNS ./.
104,I did n't say anything about cigarettes .,I/PRP did/VBD n't/RB say/VB anything/NN about/IN cigarettes/NNS ./.
105,"Police spokesman Roger Grimwade said the six or seven hijackers remained on board the aircraft , which arrived from Cyprus at 4.30 a.m. ( 0330 GMT ) .","Police/NNP spokesman/NN Roger/NNP Grimwade/NNP said/VBD the/DT six/CD or/CC seven/CD hijackers/NNS remained/VBD on/IN board/NN the/DT aircraft/NN ,/, which/WDT arrived/VBD from/IN Cyprus/NNP at/IN 4.30/CD a.m./NN (/( 0330/CD GMT/NNP )/) ./."
106,"He told me I 'm buggered too so just hang in there ' , ' ' Wilson recalled .","He/PRP told/VBD me/PRP I/PRP 'm/VBP buggered/JJ too/RB so/RB just/RB hang/NN in/IN there/EX '/'' ,/, '/'' '/POS Wilson/NNP recalled/VBD ./."
107,"Colleagues said he had been charged with theft of administrative documents . """,Colleagues/NNS said/VBD he/PRP had/VBD been/VBN charged/VBN with/IN theft/NN of/IN administrative/JJ documents/NNS ./. ``/``
108,"SPA-FRANCORCHAMPS , Belgium 1996-08-23","SPA-FRANCORCHAMPS/NNP ,/, Belgium/NNP 1996-08-23/CD"
109,"At least 50 Russian servicemen have been killed in a battle with separatist rebels which erupted in the Chechen capital Grozny on Thursday and continued after Russia and the rebels agreed a truce , Interfax news agency said .","At/IN least/JJS 50/CD Russian/JJ servicemen/NNS have/VBP been/VBN killed/VBN in/IN a/DT battle/NN with/IN separatist/NN rebels/NNS which/WDT erupted/VBD in/IN the/DT Chechen/NNP capital/NN Grozny/NNP on/IN Thursday/NNP and/CC continued/VBD after/IN Russia/NNP and/CC the/DT rebels/NNS agreed/VBD a/DT truce/NN ,/, Interfax/NNP news/NN agency/NN said/VBD ./."
110,GDP,GDP/NNP
111,"Toure , who took office last month , has said he plans to cut public service spending by 30 percent by the end of the year as part of measures to revive the economy .","Toure/NN ,/, who/WP took/VBD office/NN last/JJ month/NN ,/, has/VBZ said/VBD he/PRP plans/VBZ to/TO cut/VB public/JJ service/NN spending/NN by/IN 30/CD percent/NN by/IN the/DT end/NN of/IN the/DT year/NN as/IN part/NN of/IN measures/NNS to/TO revive/VB the/DT economy/NN ./."
112,WESTERN DIVISION,WESTERN/NNP DIVISION/NNP
113,Admira / Wacker 6 0 3 3 5 10 3,Admira/NNP //NNP Wacker/NNP 6/CD 0/CD 3/CD 3/CD 5/CD 10/CD 3/CD
114,SEOUL 1996-08-26,SEOUL/NNP 1996-08-26/JJ
115,"When it came down to the important points , I felt more confident . ""","When/WRB it/PRP came/VBD down/RB to/TO the/DT important/JJ points/NNS ,/, I/PRP felt/VBD more/RBR confident/JJ ./. ``/``"
116,"French international midfielder Marcel Desailly fouled the Argentine , whose coach at Boca Juniors before he joined Fiorentina in 1991 was new Milan coach Oscar Tabarez , and Batistuta rammed home the free kick from 30 metres out .","French/JJ international/JJ midfielder/NN Marcel/NNP Desailly/NNP fouled/VBD the/DT Argentine/NNP ,/, whose/WP$ coach/NN at/IN Boca/NNP Juniors/NNPS before/IN he/PRP joined/VBD Fiorentina/NNP in/IN 1991/CD was/VBD new/JJ Milan/NNP coach/NN Oscar/NNP Tabarez/NNP ,/, and/CC Batistuta/NNP rammed/VBD home/NN the/DT free/JJ kick/NN from/IN 30/CD metres/NNS out/RP ./."
117,""" They did a good job this year , but they need good diesel and good engine oil , "" said Ivan Odnosum . ""","``/`` They/PRP did/VBD a/DT good/JJ job/NN this/DT year/NN ,/, but/CC they/PRP need/VBP good/JJ diesel/NN and/CC good/JJ engine/NN oil/NN ,/, ``/`` said/VBD Ivan/NNP Odnosum/NNP ./. ``/``"
118,BONN 1996-08-28,BONN/NNP 1996-08-28/JJ
119,"Primary Export Destinations : Egypt , Morocco , S. Korea , Yemen , Pakistan , Mexico and China .","Primary/JJ Export/NNP Destinations/NNS :/: Egypt/NNP ,/, Morocco/NNP ,/, S./NNP Korea/NNP ,/, Yemen/NNP ,/, Pakistan/NNP ,/, Mexico/NNP and/CC China/NNP ./."
120,It also wrote down all ISS Inc goodwill and Wednesday 's statement said that the Aaxis purchase would not necessitate further write down if the sale were completed according to the terms of the letter of intent .,It/PRP also/RB wrote/VBD down/RB all/DT ISS/NNP Inc/NNP goodwill/NN and/CC Wednesday/NNP 's/POS statement/NN said/VBD that/IN the/DT Aaxis/NNP purchase/NN would/MD not/RB necessitate/VB further/RBR write/VB down/RP if/IN the/DT sale/NN were/VBD completed/VBN according/VBG to/TO the/DT terms/NNS of/IN the/DT letter/NN of/IN intent/NN ./.
121,All of us know about her .,All/DT of/IN us/PRP know/VBP about/IN her/PRP ./.
122,Israeli president invites Arafat to home - paper .,Israeli/NNP president/NN invites/VBZ Arafat/NNP to/TO home/VB -/: paper/NN ./.
123,1-0 .,1-0/JJ ./.
124,Lecce 's 3-0 weekend defeat of Genoa was expected to be overturned by a sporting judge on Thursday after the home club fielded an ineligible player .,Lecce/NNP 's/POS 3-0/JJ weekend/NN defeat/NN of/IN Genoa/NNP was/VBD expected/VBN to/TO be/VB overturned/VBN by/IN a/DT sporting/VBG judge/NN on/IN Thursday/NNP after/IN the/DT home/NN club/NN fielded/VBD an/DT ineligible/JJ player/NN ./.
125,*,*/NN
126,SOCCER - POLAND TIES CYPRUS 2-2 IN FRIENDLY MATCH .,SOCCER/NNP -/: POLAND/NN TIES/NNP CYPRUS/NNP 2-2/JJ IN/NNP FRIENDLY/NNP MATCH/NNP ./.
127,South Sydney 21 5 1 15 304 586 11,South/NNP Sydney/NNP 21/CD 5/CD 1/CD 15/CD 304/CD 586/CD 11/CD
