id,text,label,score
57,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? ,negative,-0.2023
58,it 's one of the worst of the entire franchise . ,negative,-0.6249
59,", this is the first film in a long time that made me want to bolt the theater in the first 10 minutes . ",positive,0.0772
60,benefits from serendipity but also reminds us of our own responsibility to question what is told as the truth ,positive,0.5789
61,actually manages to bring something new into the mix ,positive,0.0
62,a deliciously nonsensical comedy about a city coming apart at its seams ,positive,0.6597
63,'s plenty to impress about e.t. ,positive,0.4404
64,the moral shrapnel and mental shellshock will linger long after this film has ended . ,positive,0.0
65,seems the film should instead be called ` my husband is travis bickle ' ,positive,0.0
66,"low-grade dreck that usually goes straight to video -- with a lousy script , inept direction , pathetic acting , poorly dubbed dialogue and murky cinematography ",negative,-0.743
67,"the work of an exhausted , desiccated talent who ca n't get out of his own way ",positive,0.0772
68,"a more credible script , ",positive,0.0
69,trapped ,negative,-0.5267
70,demonstrates a breadth of vision and an attention to detail that propels her into the upper echelons of the directing world ,positive,0.25
71,flavor and spice ,positive,0.0
72,the picture is so lovely toward the end ,positive,0.7065
73,despicable characters ,positive,0.0
74,all the bad things ,negative,-0.5423
75,gives the lie ,positive,0.0
76,the year 's best films ,positive,0.6369
77,too much ,positive,0.0
78,an earnest study in despair ,positive,0.25
79,"leave it to john sayles to take on developers , the chamber of commerce , tourism , historical pageants , and commercialism all in the same movie ... without neglecting character development for even one minute ",positive,0.2635
80,"his brawny frame and cool , composed delivery ",positive,0.3182
81,"'s simply stupid , irrelevant and deeply , truly , bottomlessly cynical ",negative,-0.4715
82,"an incredibly heavy-handed , manipulative dud ",negative,-0.3102
83,a bracing truth that 's refreshing after the phoniness of female-bonding pictures like divine secrets of the ya-ya sisterhood ,positive,0.8126
84,that ultimately coheres into a sane and breathtakingly creative film ,positive,0.4404
85,"showing us well-thought stunts or a car chase that we have n't seen 10,000 times ",positive,0.0
86,strikingly devious ,positive,0.0
87,"is philosophy , illustrated through everyday events ",positive,0.0
88,cliched and contrived that it makes your least favorite james bond movie seem as cleverly plotted as the usual suspects ,negative,-0.1481
89,hollywood fluff ,positive,0.0
90,"was feeling this movie until it veered off too far into the exxon zone , and left me behind at the station looking for a return ticket to realism ",positive,0.128
91,is simply a lazy exercise in bad filmmaking that asks you to not only suspend your disbelief but your intelligence as well . ,positive,0.6464
92,"delightfully unpredictable , hilarious ",positive,0.7506
93,mr. deeds '' is suitable summer entertainment that offers escapism without requiring a great deal of thought . ,negative,-0.1265
94,impostor deviously adopts the guise of a modern motion picture ,positive,0.1779
95,a brilliant college student ,positive,0.5859
96,"as is often the case with ambitious , eager first-time filmmakers , mr. murray , a prolific director of music videos , stuffs his debut with more plot than it can comfortably hold . ",positive,0.8126
97,friendly kick ,positive,0.4939
98,is never clear . ,negative,-0.2924
99,takes no apparent joy ,positive,0.3818
100,created a beautiful canvas ,positive,0.7096
101,"though filmed partly in canada , paid in full has clever ways of capturing inner-city life during the reagan years . ",positive,0.4588
102,cremaster 3 '' should come with the warning `` for serious film buffs only ! '' ,negative,-0.4574
103,to capture the chaos of france in the 1790 's ,negative,-0.5719
104,", and among the best films of the year . ",positive,0.6369
105,aims for poetry and ends up sounding like satire ,positive,0.3612
106,deep deceptions ,positive,0.0
107,pretty weary ,positive,0.2732
108,"its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh ",positive,0.9612
109,an all-around good time at the movies this summer ,positive,0.4404
110,entertaining and audacious moments ,positive,0.5859
111,", it is not enough to give the film the substance it so desperately needs . ",negative,-0.5214
112,lightweight filmmaking ,positive,0.0
113,"we 've seen ( eddie ) murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed ",negative,-0.3506
114,"assured , vital and well wrought , the film is , arguably , the most accomplished work to date from hong kong 's versatile stanley kwan . ",positive,0.7902
115,"more of the same from taiwanese auteur tsai ming-liang , which is good news to anyone who 's fallen under the sweet , melancholy spell of this unique director 's previous films ",positive,0.128
116,flow through the hollywood pipeline without a hitch ,positive,0.0
117,", nutty , consistently funny . ",positive,0.4404
118,a kick out of goofy brits ,positive,0.0
119,signs is just another unoriginal run of the mill sci-fi film with a flimsy ending and lots of hype . ,positive,0.0
120,"is so convinced of its own brilliance that , if it were a person , you 'd want to smash its face in ",positive,0.8016
121,good film ,positive,0.4404
122,bitter nor sweet ,negative,-0.6463
123,the most ordinary and obvious fashion ,positive,0.0
124,appear foolish and shallow ,negative,-0.2732
125,the novel charm ,positive,0.6124
126,'s good enough to be the purr ,positive,0.4404
127,crafted a solid formula for successful animated movies ,positive,0.6597
128,of continuity errors ,negative,-0.34
129,"definitive , if disingenuous , ",positive,0.0
130,numbness . ,negative,-0.2732
131,"a few nonbelievers may rethink their attitudes when they see the joy the characters take in this creed , but skeptics are n't likely to enter the theater . ",positive,0.2023
132,are very expressive . ,positive,0.0
133,"fuddled about motives and context , which drains it of the dramatic substance that would shake us in our boots ( or cinema seats ) ",negative,-0.1779
134,"the film , while it 's not completely wreaked ",positive,0.0
135,the animated sequences are well done and perfectly constructed to convey a sense of childhood imagination ,positive,0.743
136,soon-to-be-forgettable '' section ,positive,0.0
137,is this films reason for being . ,positive,0.0
138,the film is full of charm . ,positive,0.4019
139,this film biggest problem ,negative,-0.4019
140,just copies ,positive,0.0
141,"an eerily suspenseful , deeply absorbing piece that works as a treatise on spirituality as well as a solid sci-fi thriller ",positive,0.4767
142,deserves an oscar nomination . ,positive,0.0
143,"famuyiwa 's feature deals with its subject matter in a tasteful , intelligent manner , rather than forcing us to endure every plot contrivance that the cliché-riddled genre can offer . ",positive,0.4767
144,something of a triumph ,positive,0.4767
145,a thriller ,positive,0.1027
146,how to suffer ' ,negative,-0.5423
147,chase to end all chases ,positive,0.0
148,of being a good documentarian ,positive,0.4404
149,"it was , as my friend david cross would call it , ` hungry-man portions of bad ' ",negative,-0.0772
150,nothing at the core of this slight coming-of-age/coming-out tale ,positive,0.0
151,"riveted with every painful nuance , unexpected flashes of dark comedy and the character 's gripping humanity ",negative,-0.1027
152,it 's fairly solid -- not to mention well edited so that it certainly does n't feel like a film that strays past the two and a half mark . ,positive,0.0874
153,", it 's still a sweet , even delectable diversion . ",positive,0.7845
154,like the rock on a wal-mart budget ,positive,0.3612
155,"know why steven seagal is considered a star , nor why he keeps being cast in action films when none of them are ever any good or make any money ",positive,0.4404
156,a fantastically vital movie ,positive,0.296
157,interest onscreen ,positive,0.4588
158,awesome ,positive,0.6249
159,tortured and ,negative,-0.5574
160,the film to affirm love 's power to help people endure almost unimaginable horror ,positive,0.539
161,"director lee has a true cinematic knack , but it 's also nice to see a movie with its heart so thoroughly , unabashedly on its sleeve . ",positive,0.6808
162,drive past -- even if it chiefly inspires you to drive a little faster ,positive,0.4404
163,the group 's playful spark of nonconformity ,positive,0.5859
164,"too much of the movie feels contrived , as if the filmmakers were worried the story would n't work without all those gimmicks . ",negative,-0.296
165,must be said that he is an imaginative filmmaker who can see the forest for the trees . ,positive,0.0
166,show the gentle and humane side of middle eastern world politics ,positive,0.4404
167,all menace and atmosphere ,negative,-0.4939
168,it seem fresh again ,positive,0.3182
169,an opportunity missed . ,positive,0.1531
170,a good-hearted ensemble comedy with a variety of quirky characters and an engaging story ,positive,0.5994
171,a terrific date movie ,positive,0.4767
172,i know better than to rush to the theater for this one ,positive,0.4404
173,performing ages-old slapstick and unfunny tricks ,negative,-0.128
174,"horrifyingly , ever ",negative,-0.6486
175,"sensuality , and sympathy into a story about two adolescent boys . ",positive,0.3612
176,"the structure is simple , but in its own way , rabbit-proof fence is a quest story as grand as the lord of the rings ",positive,0.6124
177,"'ve never seen ( a remake ) do anything as stomach-turning as the way adam sandler 's new movie rapes , pillages and incinerates frank capra 's classic ... ",negative,-0.6705
178,a festival film that would have been better off staying on the festival circuit ,positive,0.8519
179,", knockaround guys rarely seems interested in kicking around a raison d'etre that 's as fresh-faced as its young-guns cast . ",negative,-0.3089
180,a therapeutic zap of shock treatment ,negative,-0.3818
181,the writing and direction to the soggy performances ,positive,0.0
182,to set the women 's liberation movement back 20 years ,positive,0.0
183,hard pressed to succumb to the call of the wild ,negative,-0.1027
184,a dashing and resourceful hero ,positive,0.5574
185,charlotte sometimes is a gem . ,positive,0.0
186,an uneven film for the most part ,positive,0.0
187,"devastated by war , famine and poverty and ",negative,-0.9042
188,this quality band may pick up new admirers ,positive,0.4019
189,meandering and pointless french coming-of-age import from writer-director anne-sophie birot ,positive,0.0
190,give a second look if we passed them on the street ,positive,0.0
191,that celebi could take me back to a time before i saw this movie ,positive,0.0
192,torture and ,negative,-0.5994
193,", this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their *** off for an hour-and-a-half . ",positive,0.3591
194,at the station looking for a return ticket to realism ,positive,0.0
195,very stupid and annoying ,negative,-0.7688
196,"enters a realm where few non-porn films venture , and comes across as darkly funny , energetic , and surprisingly gentle . ",positive,0.872
197,using them as punching bags ,positive,0.0
198,a modest masterpiece . ,positive,0.6249
199,"for independence , complete with loads of cgi and bushels of violence , but not a drop of human blood ",negative,-0.0846
200,is a total misfire ,positive,0.0
201,", it eventually works its way up to merely bad rather than painfully awful . ",negative,-0.872
202,made the full monty a smashing success ,positive,0.5719
203,"in short , is n't nearly as funny as it thinks it is ",negative,-0.3412
204,mental illness ,negative,-0.4019
205,help this movie one bit ,positive,0.4019
206,its shortcomings ,positive,0.0
207,"done , so primitive in technique , ",positive,0.0
208,"the filmmakers ' paws , sad to say , ",negative,-0.4767
209,a story about intelligent high school students that deals with first love sweetly but also seriously . ,positive,0.5574
210,how ridiculous and money-oriented the record industry really is ,negative,-0.3612
211,affectingly ,positive,0.0
212,"the movie , shot on digital videotape rather than film , is frequently indecipherable ",positive,0.0
213,to the brim with ideas ,positive,0.0
214,the eyes of some children who remain curious about each other against all odds ,positive,0.3182
215,"keep a family of five blind , crippled , amish people alive in this situation ",negative,-0.0258
216,uncomfortable class resentment ,negative,-0.6705
217,the most entertaining bonds in years ,positive,0.4927
218,some weird relative trots out the video he took of the family vacation to stonehenge ,negative,-0.1779
219,inquisitive film ,positive,0.1779
220,"utilizes the idea of making kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work . ",positive,0.0
221,was utterly charming ,positive,0.624
222,you sweat ,positive,0.0
223,"sand 's masculine persona , with its love of life and beauty ",positive,0.8402
224,reno devolves into a laugh-free lecture . ,positive,0.0
225,mechanical you can smell the grease on the plot ,positive,0.0
226,past a child 's interest and an adult 's patience ,positive,0.4588
227,before some savvy producer saw the potential success inherent in the mixture of bullock bubble and hugh goo ,positive,0.5719
228,looks like a drag queen ,positive,0.1531
229,is a movie where the most notable observation is how long you 've been sitting still ,positive,0.0
230,often surprising twists and an intermingling of naiveté and sophistication ,positive,0.2732
231,", you come to believe that nachtwey hates the wars he shows and empathizes with the victims he reveals . ",negative,-0.8316
232,daring ,positive,0.3612
233,a late-inning twist that just does n't make sense ,positive,0.0
234,"e.t. works because its flabbergasting principals , 14-year-old robert macnaughton , 6-year-old drew barrymore and 10-year-old henry thomas , convince us of the existence of the wise , wizened visitor from a faraway planet . ",positive,0.6249
235,of an authentic feel ,positive,0.0
236,crippled ,positive,0.0
237,the bard as black comedy -- willie would have loved it . ,positive,0.7506
238,"a tired , unnecessary retread ",negative,-0.4404
239,wise and deadpan humorous . ,positive,0.6908
240,also represents glossy hollywood at its laziest . ,negative,-0.5719
241,"... flat-out amusing , sometimes endearing and often fabulous , with a solid cast , noteworthy characters , delicious dialogue and a wide supply of effective sight gags . ",positive,0.9246
242,"are both superb , while huppert ... is magnificent . ",positive,0.8402
243,impersonal and abstract ,negative,-0.3182
244,one that is presented with great sympathy and intelligence ,positive,0.8658
245,like mike shoots and scores ,positive,0.3612
246,"a movie that will surely be profane , politically charged music to the ears of cho 's fans . ",positive,0.2732
247,hmmm ,positive,0.0
248,zips along with b-movie verve while adding the rich details and go-for-broke acting that heralds something special . ,positive,0.743
249,being very funny ,positive,0.4927
250,exhibits the shallow sensationalism characteristic of soap opera ,positive,0.0
251,ca n't save it ,negative,-0.3875
252,between flaccid satire and what ,positive,0.0
253,'m not sure which will take longer to heal : the welt on johnny knoxville 's stomach from a riot-control projectile or my own tortured psyche . ,negative,-0.6769
254,would anyone cast the magnificent jackie chan in a movie full of stunt doubles and special effects ,positive,0.765
255,every bit as imperious as katzenberg 's the prince of egypt from 1998 . ,positive,0.0
256,riveting set pieces ,positive,0.0
257,filter out the complexity ,positive,0.0
258,"you go into the theater expecting a scary , action-packed chiller ",negative,-0.4939
259,a snore and utter tripe ,positive,0.0
260,this ill-conceived and expensive project ,positive,0.0
261,african american professionals ,positive,0.0
262,it 's that painful . ,negative,-0.4404
263,the u.s. ,positive,0.0
264,"'s a testament to the film 's considerable charm that it succeeds in entertaining , despite playing out like a feature-length sitcom replete with stereotypical familial quandaries . ",positive,0.7268
265,"like all of egoyan 's work , ararat is fiercely intelligent and uncommonly ambitious . ",positive,0.8225
266,deadly dull ,negative,-0.4019
267,"i enjoyed the movie in a superficial way , while never sure what its purpose was . ",positive,0.3265
268,hard to say who might enjoy this ,positive,0.4215
269,"if we sometimes need comforting fantasies about mental illness , we also need movies like tim mccann 's revolution no. 9 . ",positive,0.0772
270,about issues most adults have to face in marriage ,positive,0.0
271,what should have been a painless time-killer becomes instead a grating endurance test . ,positive,0.2023
272,"it throws quirky characters , odd situations , and off-kilter dialogue at us , all as if to say , `` look at this ! ",negative,-0.3802
273,"when the fire burns out , we 've only come face-to-face with a couple dragons and that 's where the film ultimately fails . ",negative,-0.6369
274,in narcissism and self-congratulation disguised as a tribute ,negative,-0.2732
275,like a medium-grade network sitcom -- mostly inoffensive ,positive,0.3612
276,'s almost worth seeing because it 's so bad ,negative,-0.5973
277,"it with ring , ",positive,0.0
278,seems suited neither to kids or adults . ,positive,0.0
279,on three short films and two features ,positive,0.0
280,a fascinating character study with laughs ,positive,0.7717
281,technically sumptuous but also almost wildly alive ,positive,0.4556
282,'s pleasant enough -- and oozing with attractive men ,positive,0.7351
283,neither amusing nor dramatic enough to sustain interest ,positive,0.2062
284,swallow thanks to remarkable performances ,positive,0.7579
285,", sloppy ",positive,0.0
286,to use the word `` new '' in its title ,positive,0.0
287,does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets . ,positive,0.34
288,"terror by suggestion , rather than the overuse of special effects ",negative,-0.1779
289,proves once again that a man in drag is not in and of himself funny . ,positive,0.25
290,"comes from the brave , uninhibited performances ",positive,0.5267
291,a very good viewing alternative ,positive,0.4927
292,a valiant attempt to tell a story about the vietnam war before the pathology set in ,negative,-0.5994
293,movie sputters ,positive,0.0
294,no-surprise ,positive,0.0
295,"well-acted , well-directed and , for all its moodiness , not too ",negative,-0.34
296,idol 's ,positive,0.0
297,this unrelenting bleak insistence on opting out of any opportunity for finding meaning in relationships or work ,positive,0.4215
298,ability to take what is essentially a contained family conflict and put it into a much larger historical context ,positive,0.0
299,attracting audiences to unfaithful ,positive,0.4767
300,to probe questions of attraction and interdependence ,positive,0.4588
301,the only thing scary about feardotcom ,negative,-0.4939
302,( improvised over many months ) and for conveying the way tiny acts of kindness make ordinary life survivable ,positive,0.4588
303,"bring fresh , unforced naturalism to their characters ",positive,0.3182
304,"as a very distinctive sensibility , working to develop her own film language with conspicuous success ",positive,0.5719
305,rekindles ,positive,0.0
306,compelling ,positive,0.2263
307,"a shimmeringly lovely coming-of-age portrait , shot in artful , watery tones of blue , green and brown . ",positive,0.5859
308,shows he can outgag any of those young whippersnappers making moving pictures today . ,positive,0.0
309,"the gifted crudup has the perfect face to play a handsome blank yearning to find himself , and ",positive,0.8689
310,'re going to feel like you were n't invited to the party . ,positive,0.6369
311,has its rewards . ,positive,0.4767
312,"using a stock plot , about a boy injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater . ",positive,0.4404
313,the incessant use of cell phones ,positive,0.0
314,chases for an hour and then ,positive,0.0
315,drifts aimlessly ,positive,0.0
316,enormously enjoyable ,positive,0.4927
317,cho 's latest comic set is n't as sharp or as fresh as i 'm the one that i want ,positive,0.3818
318,the lack of naturalness makes everything seem self-consciously poetic and forced ... ,negative,-0.6486
319,"the characters in swimfan seem motivated by nothing short of dull , brain-deadening hangover . ",positive,0.6437
320,merchandised-to-the-max ,positive,0.0
321,moonlight mile gives itself the freedom to feel contradictory things . ,positive,0.4215
322,corrupt and hedonistic weasels ,positive,0.0
323,off-beat and fanciful ,positive,0.0
324,"a fine , rousing , g-rated family film , ",positive,0.2023
325,deep as a petri dish ,positive,0.0
326,lame ,negative,-0.4215
327,let the subtitles fool you ,negative,-0.4404
328,who is too crazy to be interesting ,positive,0.0772
329,"a delightfully unpredictable , hilarious comedy with wonderful performances that tug at your heart in ways that utterly transcend gender labels . ",positive,0.9118
330,could use a little more humanity ,positive,0.0
331,potential success ,positive,0.5719
332,offers rare insight ,positive,0.0
333,"predominantly amateur cast is painful to watch , so stilted and unconvincing ",negative,-0.4404
334,invested in undergraduate doubling subtexts and ridiculous stabs ,negative,-0.6597
335,we find ourselves surprised at how much we care about the story ,positive,0.6249
336,smokers only ,positive,0.0
337,falling short as a whole ,negative,-0.1531
338,big bad love ,positive,0.1779
339,"if you 've a taste for the quirky , steal a glimpse ",negative,-0.4939
340,"'s also nice to see a movie with its heart so thoroughly , unabashedly on its sleeve ",positive,0.4215
341,a delicious crime drama on par ,positive,0.0516
342,pays earnest homage to turntablists ,positive,0.5106
343,"with very little to add beyond the dark visions already relayed by superb recent predecessors like swimming with sharks and the player , this latest skewering ",positive,0.8176
344,a chore to sit through -- despite some first-rate performances by its lead ,positive,0.0
345,organic intrigue ,positive,0.0
346,"garcía bernal and talancón are an immensely appealing couple , and ",positive,0.0
347,tell you ,positive,0.0
348,a few other decent ones ,positive,0.0
349,"serious re-working to show more of the dilemma , rather than have his characters stage shouting ",negative,-0.3102
350,it deserves to be seen everywhere . ,positive,0.0
351,creepy and vague ,negative,-0.1027
352,to its ultimate demise ,positive,0.0
353,hold our attention ,positive,0.0
354,that the typical hollywood disregard for historical truth and realism is at work here ,positive,0.0516
355,to remember ,positive,0.0
356,impressive performances ,positive,0.5106
357,of beautiful movement and inside information ,positive,0.5994
358,our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender -- and ,negative,-0.1779
359,"contrived , well-worn situations ",positive,0.0
360,gawky ,positive,0.0
361,the balance between the fantastic and the believable ,positive,0.5574
362,"despite terrific special effects and funnier gags , harry potter and the chamber of secrets finds a way to make j.k. rowling 's marvelous series into a deadly bore . ",positive,0.1994
363,to go down with a ship as leaky as this ,positive,0.0
364,"helpful to listen to extremist name-calling , regardless of whether you think kissinger was a calculating fiend or just a slippery self-promoter ",positive,0.4215
365,"`` catch me '' feels capable of charming the masses with star power , a pop-induced score and sentimental moments that have become a spielberg trademark . ",positive,0.8271
366,generates by orchestrating a finale that is impenetrable and dull ,negative,-0.4019
367,it 's worth seeing ,positive,0.2263
368,turning into a black hole of dullness ,negative,-0.34
369,"peralta captures , in luminous interviews and amazingly evocative film from three decades ago , the essence of the dogtown experience . ",positive,0.0
370,well-paced and ,positive,0.0
371,marks the spot . ,positive,0.0
372,pill to swallow ,positive,0.0
373,one of our best actors ,positive,0.6369
374,can be viewed as pure composition and form -- ,positive,0.0
375,"pointed , often tender , examination ",positive,0.0
376,"ice cube is n't quite out of ripe screwball ideas , but friday after next spreads them pretty thin ",positive,0.6369
377,surprisingly well ,positive,0.5106
378,than losers ,negative,-0.5267
379,absorbing ,positive,0.0
380,tears welled up in my eyes both times ,negative,-0.128
381,utterly pointless ,positive,0.0
382,"some of the characters die and others do n't , and the film pretends that those living have learned some sort of lesson , ",negative,-0.6486
383,offers an interesting look at the rapidly changing face of beijing . ,positive,0.4019
384,far more meaningful ,positive,0.3804
385,"has little to do with the story , ",positive,0.0
386,ultimately delivers ,positive,0.0
387,"a waterlogged version of ` fatal attraction ' for the teeny-bopper set ... a sad , soggy potboiler that wastes the talents of its attractive young leads . ",positive,0.3182
388,languorous charm ,positive,0.4019
389,of its pretensions ,positive,0.0
390,one-sided ,positive,0.0
391,beautiful scene ,positive,0.5994
392,"fifty years after the fact , the world 's political situation seems little different , and ( director phillip ) noyce brings out the allegory with remarkable skill . ",positive,0.5574
393,a really special walk ,positive,0.4576
394,we 'd live in if argento 's hollywood counterparts ... had this much imagination and nerve ,positive,0.0
395,"an energetic , violent movie with a momentum that never lets up ",negative,-0.25
396,deserve but rarely receive it ,positive,0.0
397,of awakening and ripening ,positive,0.0
398,argentinean ` dramedy ' ,positive,0.0
399,spy action flick with antonio banderas and lucy liu never comes together . ,positive,0.0
400,keep the movie slaloming through its hackneyed elements with enjoyable ease ,positive,0.6597
401,straining to get by on humor that is not even as daring as john ritter 's glory days on three 's company . ,positive,0.2937
402,"the ensemble cast , the flat dialogue by vincent r. nebrida or ",positive,0.0
403,shines bright on this frozen tundra soap opera that breathes extraordinary life into the private existence of the inuit people . ,positive,0.4404
404,enjoyed as a work of fiction inspired by real-life events ,positive,0.7579
405,of this dog of a movie ,positive,0.0
406,drains it ,positive,0.0
407,give it a marginal thumbs up ,positive,0.0
408,seems to play on a 10-year delay ,positive,0.0258
409,'s betting her third feature will be something to behold ,positive,0.0
410,paid in full is remarkably engaging despite being noticeably derivative of goodfellas and at least a half dozen other trouble-in-the-ghetto flicks . ,positive,0.4005
411,"makes the same mistake as the music industry it criticizes , becoming so slick and watered-down it almost loses what made you love it in the first place . ",negative,-0.1548
412,accept it as life and ,positive,0.3818
413,bogdanovich taps deep into the hearst mystique ,positive,0.0
414,11 times too many ,positive,0.0
415,dark little morality tale ,positive,0.0
416,manner and flamboyant style ,positive,0.0
417,serious movie-goers embarking upon this journey ,negative,-0.0772
418,even more unmentionable subjects seem like mere splashing around in the muck ,positive,0.3612
419,the film is a verbal duel between two gifted performers . ,positive,0.0
420,"fare , with enough ",positive,0.0
421,pump life into overworked elements from eastwood 's dirty harry period ,negative,-0.4404
422,'s not that funny -- which is just generally insulting . ,negative,-0.6814
423,"when twentysomething hotsies make movies about their lives , hard-driving narcissism is a given , but what a world we 'd live in if argento 's hollywood counterparts ... had this much imagination and nerve ",positive,0.0
424,"seen in a while , a meander through worn-out material ",positive,0.0
425,"take care is nicely performed by a quintet of actresses , ",positive,0.7269
426,two guys who desperately want to be quentin tarantino when they grow up ,negative,-0.3182
427,the verdict : two bodies and hardly a laugh between them . ,positive,0.6003
428,ca n't recommend it . ,negative,-0.2755
429,"to wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers ",negative,-0.296
430,"loses its fire midway , ",negative,-0.5719
431,understands the workings of its spirit ,positive,0.1779
432,lacks it ,positive,0.0
433,provide the funniest moments in this oddly sweet comedy about jokester highway patrolmen ,positive,0.891
434,vividly ,positive,0.0
435,it 's kind of sad that so many people put so much time and energy into this turkey . ,negative,-0.3167
436,so many merchandised-to-the-max movies ,positive,0.0
437,a metaphor for a modern-day urban china searching for its identity . ,positive,0.0
438,"the obligatory outbursts of flatulence and the incessant , so-five-minutes-ago pop music on the soundtrack ",positive,0.0
439,to lowly studio hack ,negative,-0.25
440,"a smart , steamy mix ",positive,0.4019
441,"work -- is charming , ",positive,0.5859
442,it 's rare to find a film to which the adjective ` gentle ' applies ,positive,0.4404
443,"'s mildly entertaining , ",positive,0.4404
444,contest to see who can out-bad-act the other ,positive,0.0
445,toothless dog ,negative,-0.34
446,"can only encourage us to see samira makhmalbaf as a very distinctive sensibility , working to develop her own film language with conspicuous success ",positive,0.7906
447,'ve seen the hippie-turned-yuppie plot before ,positive,0.0
448,told and retold ,positive,0.0
449,most at women 's expense ,positive,0.0
450,"though it goes further than both , anyone who has seen the hunger or cat people will find little new here , but a tasty performance from vincent gallo lifts this tale of cannibal lust above the ordinary . ",negative,-0.128
451,an engrossing story about a horrifying historical event and the elements which contributed to it ,negative,-0.5719
452,great idea ,positive,0.6249
453,its rawness and vitality give it considerable punch . ,positive,0.3182
454,does n't mean you wo n't like looking at it ,negative,-0.2755
455,try hard but ,negative,-0.0516
456,cowardly ,negative,-0.3818
457,is an unpleasantly shallow and immature character with whom to spend 110 claustrophobic minutes ,positive,0.0
458,-- but still quite tasty and inviting all the same ,positive,0.518
459,'n safe as to often play like a milquetoast movie of the week blown up for the big screen . ,positive,0.7783
460,"a single man 's struggle to regain his life , his dignity and his music ",positive,0.1027
461,an interesting and at times captivating take on loss and loneliness . ,negative,-0.34
462,brosnan is more feral in this film than i 've seen him before and halle berry does her best to keep up with him ,positive,0.6369
