id,language
312,Russian
313,Portuguese
314,German
315,French
316,Portuguese
317,Thai
318,Spanish
319,Hindi
320,Hindi
321,Japanese
322,Portuguese
323,Greek
324,English
325,English
326,Thai
327,Bulgarian
328,Vietnamese
329,English
330,Chinese
331,Chinese
332,Thai
333,Japanese
334,Greek
335,Russian
336,Hindi
337,Spanish
338,French
339,Italian
340,German
341,Russian
342,French
343,German
344,Japanese
345,Japanese
346,Chinese
347,Italian
348,Chinese
349,Thai
350,Swahili
351,French
352,English
353,Arabic
354,Arabic
355,Spanish
356,Swahili
357,Swahili
358,Arabic
359,Italian
360,English
361,Chinese
362,Portuguese
363,Bulgarian
364,Bulgarian
365,Japanese
366,Urdu
367,Japanese
368,Urdu
369,Polish
370,Arabic
371,Thai
372,Bulgarian
373,German
374,Bulgarian
375,English
376,Greek
377,Thai
378,Turkish
379,French
380,Spanish
381,Greek
382,Arabic
383,Swahili
384,Turkish
385,Urdu
386,German
387,Dutch
388,Vietnamese
389,French
390,Russian
391,Vietnamese
392,Dutch
393,Arabic
394,Russian
395,Dutch
396,Japanese
397,Bulgarian
398,Japanese
399,Vietnamese
400,Chinese
401,Spanish
402,Japanese
403,Arabic
404,Dutch
405,Arabic
406,Arabic
407,Japanese
408,English
409,Spanish
410,Russian
411,Turkish
412,Japanese
413,English
414,Vietnamese
415,Chinese
416,Russian
417,Hindi
418,Bulgarian
419,Thai
420,Hindi
421,Russian
422,German
423,Portuguese
424,Turkish
425,Swahili
426,Spanish
427,Turkish
428,Bulgarian
429,Spanish
430,French
431,Urdu
432,Vietnamese
433,Japanese
434,Italian
435,Japanese
436,Russian
437,Russian
438,Bulgarian
439,French
440,Bulgarian
441,Turkish
442,Portuguese
443,Hindi
444,Arabic
445,German
446,Dutch
447,Italian
448,Portuguese
449,English
450,Vietnamese
451,Turkish
452,Bulgarian
453,Italian
454,Greek
455,Spanish
456,Japanese
457,German
458,Urdu
459,Russian
460,Russian
461,Turkish
462,Hindi
463,Bulgarian
464,Turkish
465,Portuguese
466,Greek
467,Swahili
468,Spanish
469,Dutch
470,German
471,Japanese
472,Italian
473,Vietnamese
474,English
475,Turkish
476,Dutch
477,Russian
478,Chinese
479,Turkish
480,Dutch
481,Dutch
482,French
483,Urdu
484,Hindi
485,Thai
486,Italian
487,Hindi
488,Portuguese
489,Dutch
490,Polish
491,Hindi
492,Italian
493,Greek
494,English
495,Swahili
496,Arabic
497,German
498,Urdu
499,Bulgarian
500,Vietnamese
501,French
502,German
503,Dutch
504,Portuguese
505,Spanish
506,Urdu
507,Japanese
508,Turkish
509,Greek
510,Arabic
511,English
512,Italian
513,German
514,Dutch
515,Hindi
516,Japanese
517,Dutch
518,Bulgarian
519,Spanish
520,Arabic
521,Spanish
522,Thai
523,Turkish
524,Arabic
525,Thai
526,Bulgarian
527,Portuguese
528,Japanese
529,German
530,Vietnamese
531,Vietnamese
532,Thai
533,Spanish
534,Chinese
535,Russian
536,Japanese
537,Thai
538,Portuguese
539,Japanese
540,English
541,German
542,Russian
543,Urdu
544,Chinese
545,French
546,Thai
547,Thai
548,Spanish
549,Greek
550,Hindi
551,Bulgarian
552,Thai
553,Vietnamese
554,Japanese
555,Portuguese
556,Chinese
557,Swahili
558,Vietnamese
559,English
560,Urdu
561,French
562,Japanese
563,French
564,Thai
565,Swahili
566,Thai
567,Dutch
568,Italian
569,Chinese
570,English
571,Urdu
572,Turkish
573,Hindi
574,Greek
575,Spanish
576,Arabic
577,Arabic
578,Dutch
579,Bulgarian
580,Polish
581,Vietnamese
582,Vietnamese
583,Russian
584,Turkish
585,Italian
586,Vietnamese
587,Turkish
588,Chinese
589,Bulgarian
590,Turkish
591,Swahili
592,Japanese
593,Bulgarian
594,English
595,Spanish
596,Polish
597,Turkish
598,Vietnamese
599,Swahili
600,Thai
601,German
602,Arabic
603,Polish
604,Urdu
605,Greek
606,Polish
607,Vietnamese
608,Urdu
609,Russian
610,Chinese
611,Russian
612,Vietnamese
613,French
614,Spanish
615,Italian
616,Italian
617,Portuguese
618,Urdu
619,Chinese
620,Italian
621,Greek
622,Russian
623,Russian
624,Chinese
625,Greek
626,Chinese
627,Turkish
628,Urdu
629,Russian
630,Turkish
631,English
632,Thai
633,Portuguese
634,Turkish
635,Thai
636,Greek
637,Bulgarian
638,Chinese
639,German
640,Spanish
641,Greek
642,Dutch
643,Polish
644,Thai
645,Bulgarian
646,Japanese
647,Swahili
648,Turkish
649,French
650,Bulgarian
651,Vietnamese
652,Polish
653,Bulgarian
654,Greek
655,Arabic
656,Turkish
657,Arabic
658,Bulgarian
659,Dutch
660,Portuguese
661,English
662,Spanish
663,English
664,Thai
665,Urdu
666,English
667,Japanese
668,Swahili
669,Vietnamese
670,Polish
671,Turkish
672,Greek
673,German
674,Turkish
675,Italian
676,Russian
677,Urdu
678,Greek
679,Bulgarian
680,French
681,Japanese
682,Chinese
683,Thai
684,Arabic
685,Spanish
686,Portuguese
687,Urdu
688,Arabic
689,Bulgarian
690,Arabic
691,Arabic
692,French
693,Spanish
694,Bulgarian
695,Dutch
696,Greek
697,Thai
698,Urdu
699,Thai
700,English
701,Arabic
702,Spanish
703,Chinese
704,Urdu
705,Greek
706,Turkish
707,Chinese
708,Italian
709,Turkish
710,French
711,Chinese
712,Polish
713,Russian
714,Chinese
715,Japanese
716,Portuguese
717,Portuguese
718,Thai
719,Swahili
720,French
721,Japanese
722,German
723,Russian
724,Greek
725,Thai
726,Polish
727,Dutch
728,Dutch
729,Polish
730,Portuguese
731,Dutch
732,Spanish
733,Spanish
734,Hindi
735,Portuguese
736,French
737,Portuguese
738,Spanish
739,Chinese
740,English
741,Russian
742,Bulgarian
743,Greek
744,Italian
745,Thai
746,Hindi
747,Chinese
748,Greek
749,Italian
750,Turkish
751,Thai
752,Vietnamese
753,German
754,Bulgarian
755,Thai
756,Vietnamese
757,Russian
758,Urdu
759,Japanese
760,Vietnamese
761,Spanish
762,Dutch
763,Bulgarian
764,Dutch
765,Urdu
766,Hindi
767,Japanese
768,Dutch
769,Greek
770,Spanish
771,Hindi
772,Vietnamese
773,Polish
774,Thai
775,Vietnamese
776,Portuguese
777,Vietnamese
778,Hindi
779,German
780,Vietnamese
781,Russian
782,Chinese
783,Greek
784,Urdu
785,Arabic
786,Hindi
787,Polish
788,Spanish
789,Greek
790,Polish
791,Italian
792,Japanese
793,Japanese
794,Portuguese
795,Italian
796,Spanish
797,Russian
798,Spanish
799,Thai
800,Spanish
801,English
802,German
803,Italian
804,Turkish
805,Thai
806,Japanese
807,Greek
808,Spanish
809,Urdu
810,Italian
811,Dutch
812,Dutch
813,Arabic
814,Dutch
815,Hindi
816,Hindi
817,Portuguese
818,Greek
819,English
820,Italian
821,Swahili
822,Vietnamese
823,Japanese
824,Hindi
825,Thai
826,Spanish
827,Chinese
828,Italian
829,Spanish
830,Chinese
831,Swahili
832,Hindi
833,Russian
834,Hindi
835,Polish
836,Thai
837,French
838,German
839,Japanese
840,Bulgarian
841,Bulgarian
842,Japanese
843,Chinese
844,Thai
845,French
846,Chinese
847,German
848,Urdu
849,Spanish
850,English
851,Japanese
852,Italian
853,English
854,Chinese
855,Russian
856,Japanese
857,Hindi
858,Greek
859,Polish
860,Italian
861,Urdu
862,Greek
863,Spanish
864,Thai
865,Russian
866,Urdu
867,Spanish
868,Vietnamese
869,Japanese
870,Swahili
871,Turkish
872,Polish
873,Italian
874,Chinese
875,Portuguese
876,Portuguese
877,Hindi
878,Polish
879,Arabic
880,Greek
881,Hindi
882,Portuguese
883,Russian
884,Thai
885,Italian
886,Spanish
887,German
888,Swahili
889,Vietnamese
890,Japanese
891,French
892,Italian
893,Arabic
894,Greek
895,Thai
896,Portuguese
897,Urdu
898,French
899,Russian
900,Bulgarian
901,Vietnamese
902,Greek
903,Portuguese
904,Hindi
905,Spanish
906,Thai
907,Vietnamese
908,Urdu
909,Swahili
910,Urdu
911,French
912,English
913,Vietnamese
914,Dutch
915,Hindi
916,Turkish
917,Thai
918,Chinese
919,Spanish
920,Polish
921,Turkish
922,Hindi
923,Swahili
924,Portuguese
925,Dutch
926,Chinese
927,Thai
928,Hindi
929,Bulgarian
930,Dutch
931,Swahili
932,Vietnamese
933,Urdu
934,German
935,Vietnamese
936,Japanese
937,German
938,Vietnamese
939,Japanese
940,Portuguese
941,Japanese
942,Portuguese
943,English
944,Chinese
945,Polish
946,Vietnamese
947,French
948,Arabic
949,Thai
950,Greek
951,Bulgarian
952,Thai
953,French
954,German
955,Japanese
956,Turkish
957,German
958,Russian
959,Italian
960,Chinese
961,Italian
962,Chinese
963,German
964,Bulgarian
965,Japanese
966,Portuguese
967,Hindi
968,Dutch
969,Hindi
970,Dutch
971,Bulgarian
972,German
973,French
974,Swahili
975,Bulgarian
976,Vietnamese
977,Hindi
978,Arabic
979,Spanish
980,Urdu
981,Spanish
982,Swahili
983,Swahili
984,Bulgarian
985,Russian
986,French
987,Bulgarian
988,Japanese
989,English
990,Japanese
991,Thai
992,Japanese
993,Arabic
994,Urdu
995,Thai
996,English
997,Hindi
998,Greek
999,Vietnamese
1000,Dutch
