id,pos_tags
83,"``/`` The/DT new/JJ evidence/NN to/TO me/PRP means/VBZ some/DT of/IN that/DT proposal/NN should/MD be/VB re-examined/VBN because/IN we/PRP could/MD get/VB away/RB with/IN considerably/RB less/JJR animals/NNS being/VBG culled/VBN if/IN in/IN fact/NN scientists/NNS throughout/IN Europe/NNP accepted/VBD this/DT evidence/NN ,/, ``/`` Naish/NNP said/VBD ./."
84,Palmeiras/NNP 5/CD 2/CD 3/CD 0/CD 8/CD 1/CD 9/CD
85,The/DT tempest/NN beyond/IN the/DT test/NN tube/NN involves/VBZ allegations/NNS that/IN the/DT U.S./NNP Food/NNP and/CC Drug/NNP Administration/NNP violated/VBD the/DT Orphan/NNP Drug/NNP law/NN by/IN allowing/VBG Biogen/NNP the/DT right/NN to/TO sell/VB its/PRP$ multiple/JJ sclerosis/NN drug/NN Avonex/NNP ./.
86,"``/`` From/IN an/DT earnings/NNS perspective/NN ,/, the/DT current/JJ fiscal/JJ year/NN has/VBZ begun/VBN with/IN great/JJ promise/NN due/JJ to/TO the/DT hit/NN motion/NN picture/NN '/'' Independence/NNP Day/NNP ,/, '/'' ``/`` News/NNP Corp/NNP said/VBD in/IN a/DT statement/NN announcing/VBG its/PRP$ results/NNS for/IN the/DT year/NN to/TO June/NNP 30/CD ,/, 1996/CD ./."
87,Guadalajara/NNP 5/CD America/NNP 0/CD
88,"--/: Dimitris/NNP Kontogiannis/NNP ,/, Athens/NNP Newsroom/NNP +301/CD 3311812-4/CD"
89,"Pinas/NNP ,/, showing/VBG cuts/NNS and/CC bruises/NNS on/IN his/PRP$ face/NN ,/, told/VBD reporters/NNS the/DT former/JJ head/NN of/IN the/DT feared/VBN Jungle/NNP Command/NNP had/VBD tried/VBN and/CC failed/VBD to/TO shoot/VB him/PRP after/IN Pinas/NNP objected/VBD to/TO Brunswijk/NNP 's/POS advances/NNS toward/IN his/PRP$ wife/NN ./."
90,The/DT outcome/NN of/IN the/DT November/NNP elections/NNS emerged/VBD as/IN a/DT hot/JJ topic/NN on/IN Wall/NNP Street/NNP this/DT week/NN as/IN financial/JJ pundits/NNS debated/VBD whether/IN Robert/NNP Rubin/NNP might/MD forgo/VB a/DT second/JJ term/NN as/IN Treasury/NNP secretary/NN if/IN President/NNP Clinton/NNP is/VBZ re-elected/VBN ./.
91,"--/: Dimitris/NNP Kontogiannis/NNP ,/, Athens/NNP Newsroom/NNP +301/CD 3311812-4/CD"
92,Quarterly/RB
93,Shanghai-Ek/NNP Chor/NNP is/VBZ jointly/RB owned/VBN by/IN the/DT Shanghai/NNP Automobile/NNP Corporation/NNP and/CC Ek/NNP Chor/NNP China/NNP Motorcycle/NNP ./.
94,Men/NNS 's/POS pole/NN vault/NN
95,MOODY/NNP AA1/NNP LISTING/NN LUX/NNP PAY/NN FREQ/NN =/SYM
96,Matahari/NNP revises/VBZ down/RP 1996/CD net/JJ target/NN ./.
97,Sales/NNS 148.29/CD vs/IN 133.82/CD
98,TORONTO/NNP 1996-08-21/CD
99,"He/PRP said/VBD former/JJ PSG/NNP team/NN mate/NN David/NNP Ginola/NNP ,/, who/WP now/RB plays/VBZ for/IN English/JJ premier/JJ league/NN Newcastle/NNP ,/, was/VBD influential/JJ in/IN his/PRP$ move/NN to/TO Scotland/NNP ./."
100,American/NNP League/NNP
101,CALIFORNIA/NNP 60/CD 68/CD .469/CD 13/CD 1/2/CD
102,11/CD -/: MaliVai/NNP Washington/NNP (/-LRB- U.S./NNP )/-RRB- beat/VBD Karim/NNP Alami/NNP (/-LRB- Morocco/NNP )/-RRB- 6-4/CD 2-6/CD 7-6/CD (/-LRB- 7-5/CD )/-RRB- 6-1/CD
103,S./NNP African/JJ apartheid/NN killer/NN convicted/VBN of/IN six/CD murders/NNS ./.
104,I/PRP did/VBD n't/RB say/VB anything/NN about/IN cigarettes/NNS ./.
105,"Police/NNS spokesman/NN Roger/NNP Grimwade/NNP said/VBD the/DT six/CD or/CC seven/CD hijackers/NNS remained/VBD on/IN board/NN the/DT aircraft/NN ,/, which/WDT arrived/VBD from/IN Cyprus/NNP at/IN 4.30/CD a.m./RB (/-LRB- 0330/CD GMT/NNP )/-RRB- ./."
106,"He/PRP told/VBD me/PRP I/PRP 'm/VBP buggered/VBN too/RB so/RB just/RB hang/VB in/IN there/RB '/'' ,/, '/'' '/'' Wilson/NNP recalled/VBD ./."
107,"Colleagues/NNS said/VBD he/PRP had/VBD been/VBN charged/VBN with/IN theft/NN of/IN administrative/JJ documents/NNS ./. ``/``"
108,"SPA-FRANCORCHAMPS/NNP ,/, Belgium/NNP 1996-08-23/CD"
109,"At/IN least/JJS 50/CD Russian/JJ servicemen/NNS have/VBP been/VBN killed/VBN in/IN a/DT battle/NN with/IN separatist/JJ rebels/NNS which/WDT erupted/VBD in/IN the/DT Chechen/JJ capital/NN Grozny/NNP on/IN Thursday/NNP and/CC continued/VBD after/IN Russia/NNP and/CC the/DT rebels/NNS agreed/VBD a/DT truce/NN ,/, Interfax/NNP news/NN agency/NN said/VBD ./."
110,GDP/NNP
111,"Toure/NNP ,/, who/WP took/VBD office/NN last/JJ month/NN ,/, has/VBZ said/VBN he/PRP plans/VBZ to/TO cut/VB public/JJ service/NN spending/NN by/IN 30/CD percent/NN by/IN the/DT end/NN of/IN the/DT year/NN as/IN part/NN of/IN measures/NNS to/TO revive/VB the/DT economy/NN ./."
112,WESTERN/NNP DIVISION/NNP
113,Admira/NNP /: Wacker/NNP 6/CD 0/CD 3/CD 3/CD 5/CD 10/CD 3/CD
114,SEOUL/NNP 1996-08-26/CD
115,"When/WRB it/PRP came/VBD down/RP to/TO the/DT important/JJ points/NNS ,/, I/PRP felt/VBD more/RBR confident/JJ ./. ``/``"
116,"French/JJ international/JJ midfielder/NN Marcel/NNP Desailly/NNP fouled/VBD the/DT Argentine/NNP ,/, whose/WP$ coach/NN at/IN Boca/NNP Juniors/NNPS before/IN he/PRP joined/VBD Fiorentina/NNP in/IN 1991/CD was/VBD new/JJ Milan/NNP coach/NN Oscar/NNP Tabarez/NNP ,/, and/CC Batistuta/NNP rammed/VBD home/RB the/DT free/JJ kick/NN from/IN 30/CD metres/NNS out/RB ./."
117,"``/`` They/PRP did/VBD a/DT good/JJ job/NN this/DT year/NN ,/, but/CC they/PRP need/VBP good/JJ diesel/NN and/CC good/JJ engine/NN oil/NN ,/, ``/`` said/VBD Ivan/NNP Odnosum/NNP ./. ``/``"
118,BONN/NNP 1996-08-28/CD
119,"Primary/JJ Export/NN Destinations/NNS :/: Egypt/NNP ,/, Morocco/NNP ,/, S./NNP Korea/NNP ,/, Yemen/NNP ,/, Pakistan/NNP ,/, Mexico/NNP and/CC China/NNP ./."
120,It/PRP also/RB wrote/VBD down/RP all/DT ISS/NNP Inc/NNP goodwill/NN and/CC Wednesday/NNP 's/POS statement/NN said/VBD that/IN the/DT Aaxis/NNP purchase/NN would/MD not/RB necessitate/VB further/JJ write/NN down/RB if/IN the/DT sale/NN were/VBD completed/VBN according/VBG to/TO the/DT terms/NNS of/IN the/DT letter/NN of/IN intent/NN ./.
121,All/DT of/IN us/PRP know/VBP about/IN her/PRP ./.
122,Israeli/JJ president/NN invites/VBZ Arafat/NNP to/TO home/NN -/: paper/NN ./.
123,1-0/CD ./.
124,Lecce/NNP 's/POS 3-0/JJ weekend/NN defeat/NN of/IN Genoa/NNP was/VBD expected/VBN to/TO be/VB overturned/VBN by/IN a/DT sporting/JJ judge/NN on/IN Thursday/NNP after/IN the/DT home/NN club/NN fielded/VBD an/DT ineligible/JJ player/NN ./.
125,*/SYM
126,SOCCER/NN -/: POLAND/NNP TIES/VBZ CYPRUS/NNP 2-2/CD IN/IN FRIENDLY/NNP MATCH/NNP ./.
127,South/NNP Sydney/NNP 21/CD 5/CD 1/CD 15/CD 304/CD 586/CD 11/CD
128,"Other/JJ seeded/VBN players/NNS advancing/VBG were/VBD number/NN three/CD Wayne/NNP Ferreira/NNP of/IN South/NNP Africa/NNP ,/, number/NN four/CD Marcelo/NNP Rios/NNP of/IN Chile/NNP ,/, number/NN six/CD MaliVai/NNP Washington/NNP of/IN the/DT United/NNP States/NNPS and/CC American/JJ Todd/NNP Martin/NNP ,/, the/DT seventh/JJ seeed/NN ./."
129,"The/DT event/NN was/VBD part/NN of/IN an/DT opposition/NN campaign/NN launched/VBN on/IN August/NNP 14/CD ,/, Pakistan/NNP 's/POS independence/NN day/NN ./."
130,"Dutch/JJ post/NN and/CC telecoms/NNS group/NN Koninklijke/NNP PTT/NNP Nederland/NNP NV/NNP 's/POS (/-LRB- Dutch/NNP PTT/NNP )/-RRB- first/JJ half/NN results/NNS came/VBD marginally/RB below/IN most/JJS analysts/NNS '/POS forecasts/NNS ,/, giving/VBG scant/JJ grounds/NNS to/TO adjust/VB full/JJ year/NN estimates/NNS ,/, analysts/NNS said/VBD on/IN Friday/NNP ./."
131,TENNIS/NN -/: TUESDAY/NNP 'S/POS RESULTS/NNS FROM/IN U.S./NNP OPEN/NNP ./.
132,Toluca/NNP 3/CD 1/CD 0/CD 2/CD 6/CD 5/CD 3/CD
133,Auckland/NNP 21/CD 11/CD 0/CD 10/CD 406/CD 389/CD 22/CD
134,Promodes/NNP was/VBD not/RB immediately/RB available/JJ for/IN comment/NN ./.
135,HONG/NNP KONG/NNP 1996-08-23/CD
136,Five/CD players/NNS were/VBD ejected/VBN after/IN Yankees/NNPS '/POS outfielder/NN Paul/NNP O'Neill/NNP and/CC Seattle/NNP catcher/NN John/NNP Marzano/NNP got/VBD into/IN a/DT fight/NN after/IN O'Neill/NNP had/VBD been/VBN brushed/VBN back/RB ./.
137,In/IN Home/NNP Health/NNP to/TO appeal/VB payment/NN denial/NN ./.
138,"Two/CD world/NN records/NNS are/VBP in/IN serious/JJ danger/NN of/IN being/VBG broken/VBN at/IN the/DT meeting/NN --/: the/DT women/NNS 's/POS 1,000/CD metres/NNS and/CC the/DT men/NNS 's/POS 3,000/CD metres/NNS ./."
139,The/DT city/NN is/VBZ up/RB for/IN negotiation/NN at/IN final/JJ peace/NN talks/NNS which/WDT have/VBP yet/RB to/TO resume/VB under/IN Netanyahu/NNP ./.
140,2./CD Scott/NNP McGrory/NNP -/: Stephen/NNP Pate/NNP (/-LRB- Australia/NNP )/-RRB- 25/CD
141,I/PRP think/VBP probably/RB if/IN the/DT decision/NN (/-LRB- to/TO cancell/VB )/-RRB- were/VBD to/TO be/VB taken/VBN it/PRP would/MD probably/RB be/VB all/DT municipal/JJ elections/NNS ../:
142,"In/IN apparent/JJ retaliation/NN for/IN NATO/NNP 's/POS detention/NN of/IN the/DT Serbs/NNPS ,/, an/DT angry/JJ Serb/JJ mob/NN including/VBG policemen/NNS trapped/VBD six/CD unarmed/JJ U.N./NNP police/NN monitors/NNS and/CC three/CD local/JJ aides/NNS in/IN their/PRP$ office/NN in/IN the/DT town/NN of/IN Zvornik/NNP ,/, east/JJ of/IN Mahala/NNP ./."
143,1860/CD Munich/NNP 1/CD (/-LRB- Schwabl/NNP 38th/JJ )/-RRB- Borussia/NNP Dortmund/NNP 3/CD (/-LRB- Zorc/NNP
144,"Jan/NNP Buettner/NNP ,/, managing/VBG director/NN of/IN AOL/NNP Germany/NNP ,/, said/VBD AdOn/NNP was/VBD in/IN the/DT formation/NN phase/NN and/CC would/MD ``/`` get/VB off/IN the/DT ground/NN next/JJ year/NN ,/, bringing/VBG in/IN advertising/NN from/IN around/IN Europe/NNP ./. ``/``"
145,following/VBG (/-LRB- all/DT figures/NNS cents/NNS per/IN share/NN )/-RRB- :/:
146,Cleveland/NNP lost/VBD for/IN just/RB the/DT second/JJ time/NN in/IN six/CD games/NNS ./.
147,"Former/JJ England/NNP captain/NN Will/NNP Carling/NNP along/IN with/IN Jeremy/NNP Guscott/NNP ,/, Rory/NNP Underwood/NNP and/CC Dean/NNP Richards/NNP have/VBP been/VBN left/VBN out/IN of/IN England/NNP 's/POS first/JJ training/NN squad/NN of/IN the/DT season/NN ./."
148,Russian/JJ troops/NNS began/VBD to/TO pull/VB out/RP from/IN southern/JJ Chechnya/NNP on/IN Sunday/NNP under/IN a/DT ceasefire/NN agreement/NN between/IN Russian/JJ security/NN chief/NN Alexander/NNP Lebed/NNP and/CC rebel/NN leaders/NNS ./.
149,"More/JJR than/IN 100/CD people/NNS were/VBD safely/RB evacuated/VBN on/IN Monday/NNP from/IN a/DT ferry/NN that/WDT caught/VBD fire/NN soon/RB after/IN leaving/VBG Guernsey/NNP in/IN Britain/NNP 's/POS Channel/NNP Islands/NNPS ,/, police/NNS said/VBD ./."
150,BRUSSELS/NNP 1996-08-24/CD
151,"``/`` Through/IN the/DT establishment/NN of/IN PULPEX/NNP ,/, London/NNP will/MD have/VB a/DT commodities/NNS bourse/NN for/IN forest/NN products/NNS which/WDT complements/VBZ existing/VBG bourses/NNS for/IN oil/NN ,/, metals/NNS and/CC '/'' softs/NNS '/'' (/-LRB- coffee/NN ,/, sugar/NN and/CC cocoa/NN )/-RRB- ,/, ``/`` OM/NNP said/VBD ./."
152,VODNI/NNP STAVBY/NNP PRAHA/NNP 1915.00/CD 1915.00/CD 2000/CD 3830.000/CD
153,"A/DT policeman/NN has/VBZ been/VBN shot/VBN dead/JJ in/IN Serbia/NNP 's/POS troubled/JJ Kosovo/NNP province/NN ,/, Serbian/JJ police/NNS said/VBD on/IN Thursday/NNP ./."
154,Championship/NN standings/NNS after/IN seven/CD rounds/NNS :/:
155,Leading/VBG results/NNS at/IN an/DT
156,Cambridge/NNP 3/CD 1/CD 2/CD 0/CD 3/CD 2/CD 5/CD
157,-/: Turkish/JJ foreign/JJ minister/NN says/VBZ Turkey/NNP will/MD take/VB part/NN in/IN the/DT Baghdad/NNP trade/NN fair/NN that/WDT will/MD be/VB held/VBN in/IN November/NNP ./.
158,"8-0-33-0/CD ,/, Tendulkar/NNP 6-0-29-1/CD ,/, Kapoor/NNP 10-2-51-0/CD ,/, Jadeja/NNP"
159,"``/`` It/PRP was/VBD called/VBN the/DT ``/`` First/NNP Battle/NNP of/IN the/DT Newbury/NNP bypass/NN '/'' ,/, ``/`` said/VBD ARC/NNP 's/POS Harding/NNP ./."
160,Brokers/NNS said/VBD the/DT stocks/NNS recovered/VBD early/JJ losses/NNS to/TO edge/VB up/RP at/IN close/NN because/IN of/IN institutional/JJ support/NN and/CC short-covering/NN ahead/RB of/IN Friday/NNP weekend/NN ./.
161,AFTER/IN THE/DT BELL/NNP -/: After/IN hours/NNS slows/VBZ in/IN light/JJ volume/NN ./.
162,"KIRKLAND/NNP ,/, Wash/NNP ./."
163,Two/CD died/VBD later/RB in/IN hospital/NN ./.
164,"Iran/NNP 's/POS deputy/JJ representative/NN to/TO the/DT United/NNP Nations/NNPS ,/, Majid/NNP Takht/NNP Ravanchi/NNP ,/, made/VBD the/DT allegations/NNS in/IN a/DT letter/NN to/TO U.N./NNP Secretary-General/NNP Boutros/NNP Boutros-Ghali/NNP on/IN Friday/NNP ,/, the/DT agency/NN said/VBD ./."
165,"-/: Mohib/NNP Textile/NNP Mills/NNP has/VBZ defaulted/VBN to/TO nearly/RB 23/CD development/NN finance/NN institutions/NNS ,/, foreign/JJ and/CC local/JJ banks/NNS ,/, leasing/VBG companies/NNS and/CC modarabas/NNS (/-LRB- Islamic/JJ mutual/JJ funds/NNS )/-RRB- ./."
166,J./NNP Srinath/NNP not/RB out/RB 1/CD
