id,entities
149,Guernsey (LOC); Britain (LOC); Channel Islands (LOC)
150,BRUSSELS (LOC)
151,PULPEX (ORG); London (LOC); OM (ORG)
152,VODNI STAVBY PRAHA (ORG)
153,Serbia (LOC); Kosovo (LOC); Serbian (MISC)
154,NONE
155,NONE
156,Cambridge (ORG)
157,Turkish (MISC); Turkey (LOC); Baghdad (LOC)
158,Tendulkar (PER); Kapoor (PER); Jadeja (PER)
159,Newbury (LOC); ARC (ORG); Harding (PER)
160,NONE
161,NONE
162,KIRKLAND (LOC); Wash (LOC)
163,NONE
164,Iran (LOC); United Nations (ORG); Majid Takht Ravanchi (PER); U.N. (ORG); Boutros Boutros-Ghali (PER)
165,Mohib Textile Mills (ORG); Islamic (MISC)
166,J. Srinath (PER)
167,SPA-FRANCORCHAMPS (LOC); Belgium (LOC)
168,Boston (ORG); CALIFORNIA (ORG)
169,Ferrari (ORG)
170,Divisional Playoff Series (MISC); Mariners (ORG); Yankees (ORG); Kingdome (LOC)
171,Aberdeen (LOC)
172,USTA (ORG)
173,OAKLAND (ORG)
174,Kurdistan Workers Party (ORG); PKK (ORG); Erzincan (LOC); Sivas (LOC)
175,Mark Trevelyan (PER)
176,SBF-120 (MISC)
177,NONE
178,Australian Open (MISC); Anke Huber (PER); Germany (LOC); South African (MISC); Amanda Coetzer (PER)
179,OB (ORG); Lotte (ORG)
180,NONE
181,NONE
182,State Department (ORG); Cuban (MISC); Washington (LOC); Cubans (MISC)
183,NONE
184,Montgomerie (PER)
185,Sayed Salahuddin (PER)
186,Martinez (PER); Tauziat (PER)
187,St Louis (LOC); Gary Sheffield (PER); Devon White (PER); Mark Hutton (PER); Florida Marlins (ORG); St. Louis Cardinals (ORG)
188,Wasim (PER)
189,NONE
190,NONE
191,Roberto Carretero (PER); Spain (LOC); Jordi Burillo (PER); Spain (LOC)
192,PUNR (ORG)
193,Poland (LOC); Cyprus (LOC)
194,NONE
195,NONE
196,NONE
197,Scottish (MISC)
198,KANSAS CITY (ORG); Texas (ORG)
199,NONE
200,NONE
201,Saeed Anwar (PER); Croft (PER); Cork (PER)
202,SCOTTISH THIRD DIVISION (MISC)
203,South Sydney (ORG)
204,Vietnamese (MISC); Alaska (LOC)
205,Atlante (ORG)
206,Rad (ORG); Buducnost (ORG); P (LOC)
207,Elect Res (ORG)
208,NONE
209,Jiri Novak (PER); Czech Republic (LOC)
210,snap (MISC)
211,RIA (ORG); Russian-Chechen (MISC); Grozny (LOC)
212,WARSAW (LOC)
213,Lebed (PER); Russia (LOC); Moscow (LOC); Chechnya (LOC)
214,MALAYSIAN OPEN BADMINTON (MISC)
215,Ajax Amsterdam (ORG); Frank de Boer (PER); AZ Alkmaar (ORG)
216,Shinichi Itoh (PER); Japan (LOC); Honda (ORG)
217,NONE
218,CHICAGO (LOC)
219,Ken Caminiti (PER); Padres (ORG); Los Angeles Dodgers (ORG); National League West (MISC)
220,Chechens (MISC)
221,German (MISC)
222,Tamil Tiger (ORG); Sri Lanka (LOC)
223,NONE
224,ENGLAND (LOC); PAKISTAN (LOC)
225,Serb (MISC); Bosnia (LOC); Serb (MISC)
226,NONE
227,Scottish (MISC); Ayr (ORG); Berwick (ORG); Clyde (ORG); Queen of the (ORG)
228,Lotte (ORG); Hyundai (ORG)
229,Arminia Bielefeld (ORG); Duisburg (ORG)
230,NONE
231,Jim Courier (PER); U.S. (LOC); Javier Sanchez (PER); Spain (LOC)
232,NONE
233,Soviet (MISC)
234,Currin (PER)
235,NONE
236,NONE
237,BELCHATOW (LOC); Poland (LOC)
238,NONE
239,NONE
240,FOWLER (PER); MCMANAMAN (PER); ENGLAND (LOC)
241,Britain (LOC)
242,Konpolis (ORG); Mideast (LOC); Indonesia (LOC); KPC (ORG)
243,Severin Konan Kouame (PER); Joseph Tanny (PER); National Security Council (ORG)
244,Damien Lynch (PER); Dublin Newsroom (ORG)
245,BONN (LOC)
246,Auxerre (ORG); Marseille (ORG)
247,LOS ANGELES (ORG)
248,Chris Boardman (PER); Britain (LOC); Andrea Collinelli (PER); Italy (LOC)
249,NONE
250,EPA (ORG)
251,Watts (PER)
252,Paul Malin (PER); Britain (LOC); Yamaha (ORG)
253,Frank Nobilo (PER); New Zealand (LOC)
254,Lupu (PER)
255,NONE
256,Katarina Studenikova (PER); Slovakia (LOC); Karina Habsudova (PER)
257,RIO DE JANEIRO (LOC)
258,Springboks (ORG); All Blacks (ORG)
259,Major League Baseball (MISC)
260,Hyundai (ORG)
261,Van (LOC); Sirnak (LOC); Hakkari (LOC)
262,Kandahar (LOC); Taleban (ORG)
263,New Zealand (LOC); Sri Lanka (LOC); Pakistan (LOC); Sharjah (LOC)
264,Grozny (LOC); Shkirko (PER); Interfax (ORG); Chechens (MISC)
265,NONE
266,Tommy Thompson (PER)
267,PUK (ORG); United Nations (ORG); Iraqi (MISC)
268,NONE
269,NONE
270,Mladost (ORG); L (LOC); Zemun (ORG)
271,Akron (LOC); Ohio (LOC)
272,Jordan (ORG)
273,Dm (MISC)
274,Jos Verstappen (PER); Netherland (LOC); Arrows (ORG)
275,Malaysia (LOC)
276,England (LOC); John Crawley (PER); Pakistan (LOC)
277,NONE
278,Nick Nieland (PER); Britain (LOC)
279,SV Salzburg (ORG)
280,Saskatchewan Wheat Pool (ORG)
281,Sheffield United (ORG)
282,Clydebank (ORG); Stirling (ORG)
283,Arafat (PER); Israeli (MISC); Shimon Peres (PER); West Bank (LOC); Ramallah (LOC); Gaza (LOC); Israel (LOC); Palestinian (MISC)
284,Rousse (LOC); Veliko Tarnovo (LOC)
285,Tel Aviv (LOC); Sameh Haj Yihye (PER)
286,Wigan (ORG)
287,NONE
288,Viktoria Zizkov (ORG)
289,Athens Metro (MISC)
290,Dutroux (PER)
291,Bekescsaba (ORG); BVSC (ORG)
292,Thai (MISC); Banharn Silpa-archa (PER)
293,Fortuna Sittard (ORG)
294,Stenning (PER)
295,Weinstein (PER); Julie Lejeune (PER); Melissa Russo (PER); Detroux (PER)
296,Islamic Museum (ORG); Cairo (LOC)
297,NONE
298,U.S. Treasury (ORG)
299,Colorado (LOC); Gale Norton (PER)
300,FRENCH LEAGUE (MISC)
301,ANKARA (LOC)
302,NONE
303,NONE
304,Virgilius Alekna (PER); Lithuania (LOC)
305,Buenos Aires (LOC)
306,NICE (ORG); EMON (PER)
307,Australian Rules (MISC); AFL (MISC)
308,NONE
309,NONE
310,PARIS (LOC)
311,Houston (LOC); Jeff Bagwell (PER); Donne Wall (PER); Houston Astros (ORG); St. Louis Cardinals (ORG)
312,North Korea (LOC); Seoul (LOC)
313,SVCD (ORG); Bulgaria (LOC)
314,Zinzan Brooke (PER)
315,Americans (MISC); Todd Martin (PER); Alex O'Brien (PER)
316,Doetinchem-Doetinchem (MISC)
317,NONE
318,Bruny Surin (PER); Canada (LOC)
319,NONE
320,COMEX (ORG); Codelco (ORG); Salvador (LOC); Chile (LOC)
321,BONN (LOC)
322,Guinean (MISC)
323,U.N. (ORG); Iraq (LOC)
324,Lens (ORG); Montpellier (ORG)
325,Guillaume Raoux (PER); France (LOC); Filip Dewulf (PER); Belgium (LOC)
326,PRESS DIGEST (MISC); Spain (LOC)
327,PSG (ORG); Nantes (ORG); Patrice Loko (PER); Benoit Cauet (PER); Loko (PER)
328,Education (ORG)
329,Hasina (PER); Bogra (LOC)
330,Florida (LOC)
331,UNITED NATIONS (ORG)
332,Finance Ministry (ORG)
333,Juventus (ORG); European Cup (MISC)
334,NONE
335,U.S. (LOC); Myles Frechette (PER); Clinton (PER); Colombia (LOC); U.S. (LOC)
336,Jan Siemerink (PER); Netherlands (LOC); Carlos Moya (PER); Spain (LOC)
337,Afghanistan (LOC)
338,New York (LOC); Garret Anderson (PER); Gary DiSarcina (PER); Jim Edmonds (PER); California Angels (ORG); Yankees (ORG)
339,A. Jadeja (PER)
340,NONE
341,Polish (MISC)
342,Loznica (ORG)
343,Clinton (PER)
344,Mickelson (PER)
345,NONE
346,French (MISC); Pol Pot (PER); Khmer Rouge (ORG); Cambodia (LOC)
347,NBH (ORG); MIT (ORG)
348,AMSTERDAM (LOC)
349,NONE
350,Sweden (LOC)
351,Baker (PER); Clinton (PER); Republican National Convention (MISC); Syria (LOC); Israel (LOC)
352,Sun Microsystems Inc. (ORG); JavaSoft (ORG); Internet Startup (ORG); Java (MISC)
353,NEW YORK (LOC)
354,CAPE TOWN (LOC)
355,NEW YORK (LOC)
356,Johnson (PER)
357,Edouard Gritsoun (PER); Russia (LOC)
358,Credit Suisse (ORG)
359,Cimicchi (PER)
360,Vaclavas Kidikas (PER); Lithuania (LOC)
361,NONE
362,CARLSBAD (LOC); California (LOC)
363,Nigeria (LOC); Ikimi (PER); Reuters (ORG); Abuja (LOC)
364,Martin Wolk (PER)
365,Prague Stock Exchange (ORG)
366,India (LOC); Tamil (MISC)
367,Baltika Kaliningrad (ORG)
368,NONE
369,Swindon (ORG)
370,Indians (MISC)
371,Israeli (MISC); David Levy (PER); Egypt (LOC); Hosni Mubarak (PER); Foreign Ministry (ORG)
372,Artyom Danielyan (PER); Moscow Newsroom (ORG)
373,French (MISC); Nice (ORG); Albert Emon (PER)
374,Puerto Rico (LOC)
375,Clinton (PER); Democratic (MISC); Franklin D. Roosevelt (PER)
376,Andrews (PER)
377,Toronto (ORG); Guzman (PER)
378,ACC (ORG); Indian (MISC); Palkhivala (PER)
379,NONE
380,Goias (ORG); Sport Recife (ORG)
381,Portuguesa (ORG); Atletico Mineiro (ORG)
382,NONE
383,NONE
384,AMSTERDAM (LOC)
385,NONE
386,SAN DIEGO (ORG)
387,Stenning (PER)
388,English (MISC)
389,NONE
390,North Melbourne (ORG); Geelong (ORG)
391,BASEBALL (MISC); MAJOR LEAGUE (MISC)
392,Diana (PER); Mother Teresa (PER)
393,BEIJING (LOC)
394,Gloria Bistrita (ORG); Ilie Lazar (PER); Eugen Voica (PER)
395,Security Council (ORG); Iraq (LOC)
396,NONE
397,Rabobank (ORG)
398,Morris (PER); Clinton (PER); Republican (MISC); Democrat (MISC); Dole (PER)
399,NONE
400,Formula Shell (ORG); Ginebra San Miguel (ORG)
401,Fortuna Duesseldorf (ORG)
402,NONE
403,M. Atherton (PER); Inzamam-ul-Haq (PER); Mushtaq Ahmed (PER)
404,Mathias Ntawulikura (PER); Rwanda (LOC)
405,Turkish (MISC); Necmettin Erbakan (PER); Bosnian (MISC)
406,NONE
407,Lietti (PER)
408,Constructorul (ORG)
409,Colombo (LOC); Liberation Tigers of Tamil Eelam (ORG)
410,St Pauli (ORG)
411,NORTHAMPTON (LOC); England (LOC)
412,Monrovia (LOC)
413,Linford Christie (PER); Dream Team (MISC); Berlin (LOC)
414,NONE
415,Costa Rica (LOC); Hashimoto (PER)
416,Ukraine (LOC); Ukraine (LOC)
417,Republicans (MISC); White House (LOC); Congress (ORG)
418,New Zealand Cricket (ORG); Sri Lankans (MISC); Hamilton (LOC); Wellington (LOC); Auckland (LOC); Christchurch (LOC); Dunedin (LOC); England (LOC)
419,HANOVER (LOC); Germany (LOC)
420,NONE
421,NONE
422,Phil Mickelson (PER)
423,NONE
424,Sydney Newsroom (ORG)
425,NONE
426,IRAQ (LOC)
427,Woosnam (PER); Miguel Angel Jimenez (PER); Spain (LOC); Klas (PER)
428,NONE
429,Democrats (MISC); House of Representatives (ORG); Democrat (MISC); Republican (MISC)
430,Freiburg (ORG)
431,NONE
432,SRI LANKA (LOC); INDIA (LOC)
433,NONE
434,Kispest (ORG); Pecs (ORG)
435,CHICAGO (ORG); Florida (ORG)
436,Tristan Hoffman (PER); Neths (LOC); TVM (ORG)
437,Muthiah Muralitharan (PER); Ravindra Pushpakumara (PER)
438,Garry West (PER); Amsterdam newsroom (ORG)
439,NONE
440,Laban Rotich (PER); Kenya (LOC)
441,Robert Allenby (PER); Australia (LOC)
442,Agnieszka Godras (PER); Poland (LOC)
443,CHICAGO (LOC)
444,U.S. (LOC); Midwest (LOC)
445,NONE
446,Royal Oak (ORG); EVEREN (ORG)
447,NONE
448,KATHMANDU (LOC)
449,Mandsaur (LOC)
450,TEXAS (ORG)
451,NONE
452,Trax (ORG); Morinville (LOC); Leduc Reef (LOC)
453,UEFA (ORG)
454,NONE
455,Adelaide (ORG); Collingwood (ORG)
456,Van Heeswijk (PER)
457,AUSTRALIANS (MISC)
458,NONE
459,NONE
460,Carlisle (ORG); Hull (ORG); Barnet (ORG); Leyton Orient (ORG); Hartlepool (ORG); Mansfield (ORG)
461,Skeleton Canyon (LOC); Arizona (LOC); Geronimo (PER); Apache (MISC); Red Indian (MISC); Nelson Miles (PER)
462,OFK Beograd (ORG); Mladost (ORG); BJ (LOC)
463,MQM (ORG)
464,EU (ORG); Commission (ORG); Gerard Kiely (PER); Reuters (ORG)
465,Thai (MISC); Burmese (MISC); Thailand (LOC)
466,Castleford (ORG)
467,Helmer (PER); Klinsmann (PER); Bayern (ORG)
468,Anders Forsbrand (PER); Sweden (LOC)
469,Airdrieonians (ORG); East Fife (ORG)
470,Club Brugge (ORG)
471,NONE
472,NONE
473,CDU (ORG); CSU (ORG); SPD (ORG); FDP (ORG); Greens (ORG); PDS (ORG)
474,Capiot (PER)
475,NONE
476,Eritrea (LOC); Sudan (LOC); Eritrea (LOC)
477,PSG (ORG); Nantes (ORG)
478,Texas (LOC); Oklahoma (LOC); Rodney Mosier (PER); Texas Wheat Producers (ORG)
479,United Nations (ORG)
480,baht (MISC)
481,Surrey (ORG); Alec Stewart (PER)
482,Argentine Apertura (MISC)
483,Cairo (LOC); Egyptian (MISC); Britain (LOC)
484,Army (ORG)
485,Nasdaq (ORG)
486,Americast (ORG); Southern New England Telecommunications Corp. (ORG)
487,Gianfranco Stevanin (PER); Verona (LOC)
488,Spartak Trnava (ORG)
489,NONE
490,NONE
491,NONE
492,Palestinian (MISC); Israel (LOC)
493,Tsang (PER); New Zealand (LOC); Hong Kong (LOC); U.S. (LOC); China (LOC)
494,Dutch (MISC); Brazil (LOC); Amsterdam (LOC)
495,ACC (ORG)
496,NONE
497,Iraq (LOC); Saddam (PER)
498,Raith (ORG); Motherwell (ORG)
499,SAN FRANCISCO (ORG)
500,CENTRAL DIVISION (MISC)
501,JYVASKLYA (LOC); Finland (LOC)
502,Mexico (LOC); Cetes (MISC)
503,PAKISTAN (LOC); ENGLAND (LOC)
504,PRESS DIGEST (MISC); Lebanon (LOC)
505,SV Ried (ORG)
506,Petra Drnovice (ORG)
507,JORNAL DE ANGOLA (MISC)
508,NONE
509,Jack Kevorkian (PER); Missouri (LOC)
510,PARIS (LOC)
511,NONE
512,Margaret McCullough (PER)
513,Western Suburbs (ORG)
514,Moyer (PER)
515,Mohammad Akram (PER); Mushtaq Ahmed (PER)
516,Italian (MISC); ANSA (ORG)
517,NONE
518,Smicer (PER)
519,Millns (PER); Australia (LOC); England A (ORG); Phillip DeFreitas (PER); Boland (ORG)
520,CENTRAL DIVISION (MISC)
521,Hungary (LOC)
522,William Fox (PER)
523,China (LOC); Japan (LOC)
524,NONE
525,Bill Clinton (PER)
526,Java (MISC)
527,NONE
528,CHICAGO (ORG)
529,Bundesliga (MISC)
530,Svetlana Samokhalova (PER); Russia (LOC)
531,Nicaraguan (MISC); Violeta Chamorro (PER); United States (LOC)
532,NONE
533,ATLANTA (ORG)
534,Espinho (ORG); Sporting (ORG)
535,Chicago (LOC); Erik Hanson (PER); Alex Fernandez (PER); Jacob Brumfield (PER); Otis Nixon (PER); Toronto Blue Jays (ORG); White Sox (ORG)
536,NONE
537,NEW YORK (LOC)
538,Barcelona (ORG)
539,Rubens Barrichello (PER); Brazil (LOC); Jordan (ORG)
540,Colchester (ORG)
541,Amtrak (ORG); Vermont (LOC)
542,Peter Pieters (PER); Tomas Post (PER); Netherlands (LOC)
543,Brazilian (MISC)
544,NONE
545,NONE
546,Chelsea (PER); Bill Clinton (PER); West Virginia (LOC); Kentucky (LOC); Ohio (LOC)
547,Wayne Ferreira (PER); South Africa (LOC); Tim Henman (PER); Britain (LOC)
548,NONE
549,LUSAKA (LOC)
550,Belarus (LOC)
551,NONE
552,Ally McCoist (PER)
553,Bosnian (MISC); Hungary (LOC)
554,PRESS DIGEST (MISC); Israel (LOC)
555,Moslem (MISC); Hungary (LOC); Nagyatad (LOC); OSCE (ORG); Bosnian-Croat Federation (LOC); Moslems (MISC)
556,NONE
557,Fiona May (PER); Italy (LOC)
558,MIDEAST GULF (LOC); RED SEA (LOC)
559,NONE
560,NONE
561,Lee Westwood (PER)
562,Russian (MISC); Erdmann (PER); Reuters (ORG); Ischinger (PER); Moscow (LOC)
563,NONE
564,Bobby Bonilla (PER)
565,Cedric Pioline (PER); France (LOC); Gregory Carraz (PER); France (LOC)
566,North Island (LOC); Tauranga (LOC)
567,Socialist (MISC); Servet Pellumbi (PER); Karl Marx (PER)
568,EU (ORG)
569,Thomas Daschle (PER)
570,ING (ORG)
571,ENGLISH COUNTY CHAMPIONSHIP (MISC)
572,NONE
573,NONE
574,Masterkova (PER)
575,Florida (LOC)
576,NONE
577,MSK Zilina (ORG)
578,NONE
579,Cleveland (ORG); DETROIT (ORG)
580,NONE
581,John Simon (PER); Southern Illinois University (ORG); Carbondale (LOC); Gen (MISC)
582,Revs (ORG)
583,Rakow Czestochowa (ORG)
584,NONE
585,Tokyo-Mitsubishi Bank (ORG)
586,Zeng Yaqiong (PER); China (LOC); Li Feng (PER); New Zealand (LOC)
587,Scifo (PER); Monaco (ORG); James Debbah (PER); Nice (ORG); Patrice Loko (PER); PSG (ORG)
588,NONE
589,Legia Warsaw (ORG); Ryszard Wieczorek (PER); Odra Wodzislaw (ORG)
590,Oncins (PER)
591,HONG KONG (LOC)
592,U.S. (LOC)
593,Davenport (PER); Karina Habsudova (PER); Slovakia (LOC)
594,ZIFA (ORG); Vincent Pamire (PER); Grobbelaar (PER); Tanzania (LOC); Harare (LOC); Castle Cup of Africa (MISC); African Nations ' Cup (MISC); Sudan (LOC); Khartoum (LOC)
595,BASEBALL (MISC); MAJOR LEAGUE (MISC)
596,NONE
597,Ukraine (LOC)
598,NONE
599,Liam (PER); London (LOC)
600,HONG KONG (LOC)
601,NONE
602,LAS CRUCES (LOC); N.M. (LOC)
603,Kankkunen (PER)
604,NONE
605,ENGLISH (MISC)
606,NONE
607,Machado (PER); Los Angeles (LOC); New Mexico (LOC); Las Cruces (LOC); Miss Teen USA (MISC)
608,Reuters (ORG)
609,NONE
610,Socialists (MISC)
611,Japan (LOC); South Korea (LOC); China (LOC)
612,JOHANNESBURG (LOC)
613,Aamir Sohail (PER)
614,R. Dravid (PER)
615,OAKLAND (ORG)
616,Miss Universe (MISC)
617,Preston (ORG); Bristol Rovers (ORG)
618,HOEK LOOS (ORG)
619,Mother Teresa (PER)
620,CHRISTIE (PER); JOHNSON (PER); OWENS (PER)
621,Wasim (PER)
622,NONE
623,Firestone C.C (LOC)
624,Mother Teresa (PER); Calcutta (LOC)
625,Coolee City (LOC); WA (LOC)
626,Anders Olofsson (PER); Sweden (LOC); Luciano della Noce (PER); Italy (LOC); Ennea (ORG)
627,Bernard Tapie (PER); National Assembly (ORG); Claude Lelouche (PER); France (LOC)
628,Yassin (PER)
629,Oklahoma (LOC); Agricultural Statistics Service (ORG)
630,Clinton (PER); Democratic Convention (MISC); Gore (PER); Republican (MISC); Bob Dole (PER)
631,Wasim Akram (PER); Stewart (PER); Croft (PER)
632,Tromso (ORG); Kongsvinger (ORG)
633,NONE
634,Mark McNulty (PER); Zimbabwe (LOC)
635,NONE
636,Mushtaq Ahmed (PER); Aamir Sohail (PER)
637,U.S. (LOC); Colombian (MISC); AMR Corp (ORG); American Airlines (ORG); New York (LOC); Bogota (LOC); Department of Transportation (ORG)
638,English County Championship (MISC)
639,NONE
640,South Africa (LOC); Dutch (MISC)
641,Moscow Newsroom (ORG)
642,ETHIOPIA (LOC); UGANDA (LOC); AFRICAN NATIONS CUP (MISC)
643,Frankfurt (LOC); Europe (LOC)
644,White House (LOC)
645,F.W. de Klerk (PER); African National Congress (ORG); Thabo Mbeki (PER)
646,Paul Koech (PER); Kenya (LOC)
647,NEW YORK (LOC)
648,NONE
649,Ciputra Development (ORG); Jakarta (LOC); Surabaya (LOC)
650,SYDNEY (LOC)
651,Vitesse Arnhem (ORG); Utrecht (ORG); Raymond Atteveld (PER); Erwin van der Looi (PER)
652,Pescara (ORG); Ottavio Palladini (PER); Parma (ORG)
653,Ajax Amsterdam (ORG)
654,NONE
655,Francisco Cea (PER); Spain (LOC); Pedro Linhart (PER)
656,Stephen Ames (PER); Trinidad (LOC); Roger Chapman (PER)
657,Southend (ORG)
658,Namibia (ORG); Botswana (ORG)
659,Alaniya Vladikavkaz (ORG)
660,Tunisian (MISC)
661,NONE
662,Gimnasia-Jujuy (ORG); Platense (ORG)
663,WESTERN DIVISION (MISC)
664,Helibor (MISC)
665,Lada Togliatti (ORG); Spartak Moscow (ORG)
666,BLOM Stock Index (MISC); LISPI (MISC)
667,Vitesse Arnhem (ORG); Vierklau (PER); Sparta Rotterdam (ORG); Gerard (PER)
668,NONE
669,JCR (ORG); JBRI (ORG); NIS (ORG)
670,Penn Treaty (ORG); New York (LOC)
671,NONE
672,NONE
673,CHICAGO (LOC)
674,IOC (ORG); German (MISC)
675,Johnson (PER); Britain (LOC); Christie (PER); Bailey (PER); Namibia (LOC); Frankie Fredericks (PER)
676,NONE
