id,topic
494,Sci/Tech
495,Business
496,Business
497,Business
498,Business
499,Sci/Tech
500,Sci/Tech
501,Sports
502,World
503,World
504,Business
505,Business
506,Sci/Tech
507,World
508,World
509,Sports
510,World
511,Business
512,Sports
513,Sports
514,Sports
515,World
516,World
517,World
518,Sci/Tech
519,Sci/Tech
520,World
521,World
522,Business
523,Sports
524,Sci/Tech
525,Sports
526,Sports
527,Sports
528,Sports
529,Business
530,Business
531,Business
532,Sports
533,Business
534,Sci/Tech
535,Sci/Tech
536,World
537,Sports
538,Sci/Tech
539,Sci/Tech
540,Business
541,Sci/Tech
542,Sci/Tech
543,Sci/Tech
544,Sci/Tech
545,Business
546,Business
547,Sports
548,Business
549,World
550,Business
551,Sci/Tech
552,Sports
553,World
554,Business
555,Sports
556,Sci/Tech
557,World
558,Sci/Tech
559,Sci/Tech
560,World
561,Business
562,Sci/Tech
563,Sports
564,Business
565,Business
566,Sci/Tech
567,Sci/Tech
568,Sci/Tech
569,World
570,Business
571,Business
572,Sci/Tech
573,Business
574,World
575,Sports
576,World
577,Business
578,World
579,Sports
580,Business
581,Sci/Tech
582,Sci/Tech
583,Business
584,Sci/Tech
585,World
586,World
587,Sports
588,World
589,Sci/Tech
590,Business
591,World
592,World
593,Sports
594,World
595,Sci/Tech
596,Sci/Tech
597,Sci/Tech
598,Sci/Tech
599,Business
600,Sci/Tech
601,Business
602,World
603,Business
604,World
605,Sports
606,Business
607,Business
608,World
609,Sci/Tech
610,Business
611,Sci/Tech
612,Business
613,Business
614,Business
615,Business
616,World
617,Sports
618,World
619,Business
620,Business
621,Business
622,Sports
623,World
624,Sports
625,Sports
626,Sports
627,Business
628,World
629,Sports
630,Sci/Tech
631,Sports
632,Sci/Tech
633,Sci/Tech
634,Business
635,Sports
636,Sports
637,Business
638,Business
639,Sports
640,World
641,Business
642,Sports
643,Sports
644,World
645,Sci/Tech
646,Business
647,Business
648,Sports
649,Sci/Tech
650,Business
651,Business
652,Sports
653,World
654,Sci/Tech
655,Sports
656,Business
657,Sports
658,Sports
659,World
660,Sci/Tech
661,Business
662,Business
663,Sci/Tech
664,World
665,Sci/Tech
666,Sports
667,Sports
668,Business
669,Business
670,Sci/Tech
671,World
672,Sports
673,Sci/Tech
674,Business
675,Sports
676,World
677,Business
678,Sports
679,Sports
680,World
681,Sports
682,World
683,Sports
684,Business
685,Sci/Tech
686,World
687,Sci/Tech
688,Sci/Tech
689,Sci/Tech
690,Business
691,Sports
692,Business
693,World
694,Sports
695,World
696,Sci/Tech
697,World
698,Sports
699,World
700,Sports
701,Sci/Tech
702,World
703,Sci/Tech
704,Sports
705,Sci/Tech
706,Business
707,World
708,Business
709,Business
710,Business
711,Business
712,Sci/Tech
713,World
714,World
715,Business
716,World
717,Sci/Tech
718,Sci/Tech
719,World
720,Sports
721,Sports
722,Sci/Tech
723,Business
724,Business
725,Sci/Tech
726,Sports
727,Sports
728,Business
729,World
730,Sci/Tech
731,World
732,Sports
733,Sports
734,Sci/Tech
735,World
736,Business
737,Sports
738,Sports
739,Sci/Tech
740,Sci/Tech
741,World
742,Sci/Tech
743,Sci/Tech
744,Sci/Tech
745,Sports
746,Business
747,Sci/Tech
748,Business
749,World
750,Business
751,World
752,Sports
753,Sports
754,Sci/Tech
755,Sports
756,Business
757,Sci/Tech
758,Business
759,Sports
760,World
761,Business
762,Sports
763,World
764,Business
765,Sports
766,Sci/Tech
767,Sci/Tech
768,World
769,Business
770,Business
771,Business
772,Business
773,Business
774,Sports
775,Business
776,Business
777,Sports
778,Sci/Tech
779,Business
780,World
781,Sports
782,Business
783,World
784,World
785,Sci/Tech
786,Sports
787,World
788,Sports
789,Sports
790,Sports
791,World
792,Business
793,Sports
794,World
795,World
796,World
797,Business
798,Sports
799,World
800,Sci/Tech
801,Business
802,Business
803,Sports
804,World
805,Sports
806,Sports
807,World
808,Sci/Tech
809,Sports
810,World
811,World
812,World
813,Sports
814,Sports
815,Business
816,Business
817,Sports
818,Business
819,Sci/Tech
820,Business
821,World
822,Business
823,World
824,Sports
825,World
826,Business
827,World
828,World
829,Sports
830,Business
831,Sports
832,World
833,Business
834,Sports
835,World
836,Sci/Tech
837,Business
838,Business
839,World
840,Sci/Tech
841,Sci/Tech
842,Sci/Tech
843,World
844,Business
845,Sports
846,World
847,Sports
848,World
849,Business
850,Sports
851,Business
852,Business
853,Sci/Tech
854,World
855,Business
856,World
857,Business
858,Sci/Tech
859,Business
860,World
861,Sports
862,Business
863,Sci/Tech
864,Sci/Tech
865,Business
866,Sports
867,Sci/Tech
868,Business
869,World
870,Business
871,World
872,Business
873,Sci/Tech
874,World
875,World
876,Sports
877,Sports
878,Business
879,Sci/Tech
880,Sports
881,Sports
882,Sports
883,Sci/Tech
884,Sports
885,Sports
886,World
887,World
888,Sci/Tech
889,Sci/Tech
890,Sports
891,World
892,World
893,Sports
894,Sports
895,Business
896,Sports
897,Sci/Tech
898,Sports
899,World
900,World
901,Business
902,Sci/Tech
903,Business
904,Sci/Tech
905,World
906,Sci/Tech
907,Sports
908,Sci/Tech
909,World
910,World
911,Sci/Tech
912,Sports
913,World
914,World
915,Sci/Tech
916,Sports
917,Business
918,Sports
919,Business
920,Sports
921,Sci/Tech
922,Sports
923,Sci/Tech
924,Sports
925,Sports
926,Sci/Tech
927,World
928,Sci/Tech
929,Sci/Tech
930,Sci/Tech
931,Sports
932,Business
933,Sports
934,Business
935,Sci/Tech
936,World
937,Sports
938,Business
939,Business
940,Sports
941,Business
942,Business
943,World
944,Business
945,World
946,World
947,Business
948,World
949,Sports
950,Sports
951,Sports
952,World
953,World
954,Sports
955,Sci/Tech
956,Sci/Tech
957,Business
958,Sci/Tech
959,World
960,Sports
961,Sci/Tech
962,World
963,Sports
964,Sports
965,World
966,Sci/Tech
967,World
968,Sports
969,World
970,Sports
971,Business
972,World
973,World
974,Sci/Tech
975,Business
976,Business
977,World
978,Business
979,Sci/Tech
980,World
981,World
982,Sports
983,Sci/Tech
984,Sports
985,Sports
986,World
987,Sci/Tech
988,Sci/Tech
989,Sports
990,Business
991,World
992,Sci/Tech
993,Sports
994,Sports
995,World
996,World
997,Sports
998,Business
999,Business
1000,Sports
