id,label
654,positive
655,negative
656,positive
657,negative
658,positive
659,positive
660,positive
661,negative
662,negative
663,negative
664,negative
665,positive
666,negative
667,positive
668,positive
669,negative
670,negative
671,positive
672,negative
673,positive
674,positive
675,negative
676,positive
677,positive
678,positive
679,negative
680,positive
681,positive
682,negative
683,positive
684,negative
685,negative
686,negative
687,positive
688,positive
689,negative
690,negative
691,positive
692,negative
693,negative
694,positive
695,positive
696,negative
697,negative
698,positive
699,negative
700,positive
701,positive
702,negative
703,positive
704,positive
705,negative
706,positive
707,negative
708,positive
709,positive
710,positive
711,positive
712,positive
713,negative
714,positive
715,positive
716,positive
717,positive
718,positive
719,positive
720,negative
721,negative
722,positive
723,positive
724,negative
725,positive
726,positive
727,negative
728,positive
729,positive
730,positive
731,positive
732,negative
733,positive
734,negative
735,positive
736,negative
737,positive
738,positive
739,positive
740,positive
741,negative
742,negative
743,positive
744,positive
745,positive
746,negative
747,positive
748,positive
749,positive
750,positive
751,negative
752,positive
753,negative
754,negative
755,negative
756,positive
757,positive
758,negative
759,positive
760,negative
761,negative
762,negative
763,positive
764,positive
765,negative
766,positive
767,negative
768,positive
769,positive
770,positive
771,positive
772,positive
773,positive
774,negative
775,negative
776,positive
777,positive
778,positive
779,positive
780,positive
781,negative
782,negative
783,negative
784,positive
785,positive
786,negative
787,negative
788,positive
789,positive
790,negative
791,negative
792,negative
793,negative
794,negative
795,positive
796,negative
797,positive
798,negative
799,negative
800,positive
801,positive
802,positive
803,positive
804,negative
805,negative
806,positive
807,negative
808,positive
809,positive
810,positive
811,positive
812,positive
813,positive
814,positive
815,negative
816,negative
817,negative
818,positive
819,positive
820,positive
821,positive
822,negative
823,positive
824,positive
825,positive
826,negative
827,negative
828,positive
829,negative
830,positive
831,negative
832,positive
833,positive
834,negative
835,negative
836,positive
837,positive
838,positive
839,negative
840,negative
841,positive
842,negative
843,positive
844,positive
845,negative
846,negative
847,positive
848,negative
849,positive
850,negative
851,positive
852,positive
853,negative
854,negative
855,positive
856,positive
857,negative
858,negative
859,positive
860,positive
861,positive
862,positive
863,positive
864,negative
865,positive
866,positive
867,positive
868,negative
869,positive
870,positive
871,negative
872,negative
873,positive
874,positive
875,negative
876,positive
877,negative
878,negative
879,positive
880,negative
881,positive
882,negative
883,negative
884,negative
885,positive
886,negative
887,positive
888,positive
889,negative
890,positive
891,positive
892,positive
893,positive
894,negative
895,negative
896,positive
897,positive
898,positive
899,positive
900,positive
901,negative
902,negative
903,positive
904,positive
905,positive
906,negative
907,positive
908,negative
909,negative
910,positive
911,negative
912,positive
913,positive
914,positive
915,negative
916,positive
917,positive
918,negative
919,negative
920,negative
921,positive
922,negative
923,positive
924,positive
925,positive
926,negative
927,negative
928,positive
929,positive
930,positive
931,negative
932,negative
933,positive
934,positive
935,negative
936,positive
937,positive
938,negative
939,positive
940,negative
941,positive
942,negative
943,positive
944,negative
945,negative
946,negative
947,negative
948,negative
949,negative
950,positive
951,negative
952,negative
953,positive
954,negative
955,negative
956,positive
957,negative
958,negative
959,positive
960,positive
961,negative
962,negative
963,negative
964,negative
965,negative
966,positive
967,positive
968,negative
969,negative
970,negative
971,negative
972,negative
973,negative
974,positive
975,positive
976,positive
977,positive
978,positive
979,positive
980,negative
981,positive
982,positive
983,positive
984,negative
985,negative
986,positive
987,negative
988,positive
989,negative
990,positive
991,positive
992,negative
993,positive
994,negative
995,negative
996,positive
997,negative
998,positive
999,negative
1000,positive
