id,text
65,without any of its sense of fun or energy 
66,"it 's the type of film about growing up that we do n't see often enough these days : realistic , urgent , and not "
67,go down with a ship as leaky 
68,"affable if not timeless , like mike raises some worthwhile themes while delivering a wholesome fantasy for kids . "
69,often very funny 
70,"every visual joke is milked , every set-up obvious and lengthy , every punchline predictable . "
71,the film 's needlessly opaque intro 
72,works as pretty contagious fun . 
73,so poorly plotted and scripted . 
74,will just as likely make you weep 
75,"with humor , warmth , and intelligence "
76,makes it all the more compelling . 
77,"little action , almost no suspense or believable tension , one-dimensional characters up "
78,in gross romanticization of the delusional personality type 
79,of better films 
80,"ignore the reputation , and ignore the film . "
81,nothing original in the way of slapstick sequences 
82,geriatric dirty harry 
83,than this mess 
84,tackled a meaty subject and 
85,a slow death 
86,among the chief reasons brown sugar is such a sweet and sexy film 
87,who are trying to make their way through this tragedy 
88,"seems based on ugly ideas instead of ugly behavior , as happiness was ... "
89,adorable italian guys 
90,even witty 
91,the performances are often engaging 
92,"a delightful , if minor , pastry "
93,"glows with enthusiasm , sensuality and a conniving wit . "
94,hero performances 
95,the pacing is often way off 
96,"i 'm convinced i could keep a family of five blind , crippled , amish people alive in this situation better than these british soldiers do at keeping themselves kicking . "
97,cult film 
98,remains utterly satisfied to remain the same throughout 
99,"approaches his difficult , endless work with remarkable serenity and discipline . "
100,a peculiar malaise 
101,gaping plot holes sink this ` sub ' 
102,all the more poignant by the incessant use of cell phones 
103,pointless extremes 
104,"there are laughs aplenty , and , as a bonus , "
105,imaginative 
106,for pretentious arts majors 
107,a bottom-feeder sequel in the escape from new york series 
108,this is a heartfelt story ... it just is n't a very involving one . 
109,wallowing in its characters ' frustrations 
110,"( vainly , i think ) "
111,"fascinating , dark thriller "
112,rich and full 
113,virtually no understanding 
114,engaging and exciting narrative 
115,a simplistic narrative and 
116,a watch that makes time go faster rather than 
117,"a non-britney person might survive a screening with little harm done , except maybe for the last 15 minutes , which are as maudlin as any after-school special you can imagine . "
118,a good music documentary 
119,it 's lost the politics and the social observation and become just another situation romance about a couple of saps stuck in an inarticulate screenplay . 
120,manages never to grow boring ... which proves that rohmer still has a sense of his audience . 
121,bad movie . 
122,the script has less spice than a rat burger and 
123,the new film is a lame kiddie flick 
124,"made to be jaglomized is the cannes film festival , the annual riviera spree of flesh , buzz , blab and money . "
125,the expressive power 
126,empathy and pity fogging up the screen ... 
127,deemed important enough to make a film in which someone has to be hired to portray richard dawson 
128,"the filmmaker 's extraordinary access to massoud , whose charm , cultivation and devotion to his people are readily apparent "
129,rejigger fatal attraction into a high school setting 
130,to avoid 
131,with little logic or continuity 
132,"satisfyingly scarifying , fresh and old-fashioned at the same time . "
133,of the plot ( other than its one good idea ) and the movie 's inescapable air of sleaziness 
134,"show-stoppingly hilarious , but "
135,achieves a level of connection and concern 
136,many pleasures 
137,the bottom tier of blaxploitation flicks 
138,have to put up with 146 minutes of it 
139,that portrays the frank humanity of ... emotional recovery 
140,the four feathers is definitely horse feathers 
141,that sends you out of the theater feeling 
142,accurately 
143,of martin scorsese 's taxi driver and goodfellas 
144,visuals and enveloping sounds 
145,add up to a biting satire that has no teeth 
146,a pretentious and 
147,worthy idea 
148,"loose , unaccountable "
149,"pokes fun at the same easy targets as other rowdy raunch-fests -- farts , boobs , unmentionables -- without much success . "
150,"a skillfully assembled , highly polished and professional adaptation "
151,riveting performances 
152,i 'll settle for a nice cool glass of iced tea and a jerry bruckheimer flick any day of the week 
153,shot on ugly digital video 
154,lustrous polished 
155,an entertaining mix of period drama and flat-out farce that should please history fans 
156,the characters seem one-dimensional 
157,"a badly edited , 91-minute trailer ( and ) "
158,"deep down , i realized the harsh reality of my situation : i would leave the theater with a lower i.q. than when i had entered . "
159,proves that a nightmare is a wish a studio 's wallet makes . 
160,pushing the jokes at the expense of character until things fall apart 
161,poor fit 
162,a historic scandal 
163,"exhilarating , funny and fun . "
164,"most audacious , outrageous , "
165,grant is n't cary and bullock is n't katherine . 
166,another best of the year selection . 
167,"thrill you , touch you "
168,one of the smartest 
169,overrun by corrupt and hedonistic weasels 
170,but filmmaker yvan attal quickly writes himself into a corner 
171,"fewer deliberate laughs , more inadvertent ones and stunningly trite "
172,"follow the same blueprint from hundreds of other films , sell it to the highest bidder and walk away without anyone truly knowing your identity "
173,confusion and 
174,no charm 
175,of those underrated professionals who deserve but rarely receive it 
176,awesome 
177,atrocities 
178,seeking an existent anti-virus 
179,"halfway through this picture i was beginning to hate it , and , "
180,what 's most offensive 
181,wry humor 
182,"a first-class road movie that proves you can run away from home , but your ego "
183,the numerous scenes 
184,this goofily endearing and well-lensed gorefest 
185,"its use of the thriller form to examine the labyrinthine ways in which people 's lives cross and change , buffeted by events seemingly out of their control , "
186,proves that he can cross swords with the best of them and helm a more traditionally plotted popcorn thriller while surrendering little of his intellectual rigor or creative composure . 
187,"unlike so many other hollywood movies of its ilk , it offers hope "
188,feel like a short stretched out to feature length 
189,ice age wo n't drop your jaw 
190,carnage and 
191,positive impression 
192,drowsy 
193,convincing 
194,touched by an unprecedented tragedy 
195,by far the worst movie of the year 
196,no reason to watch 
197,work and 2002 's first great film 
198,"bundling the flowers of perversity , comedy and romance into a strangely tempting bouquet of a movie "
199,"costner 's warm-milk persona is just as ill-fitting as shadyac 's perfunctory directing chops , and "
200,are lukewarm and quick to pass . 
201,see this piece of crap again 
202,of ` ethnic cleansing 
203,is at once intimate and universal cinema 
204,as a dentist 's waiting room 
205,steers clear of the sensational and 
206,i encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale -- 
207,"that tells a sweet , charming tale of intergalactic friendship "
208,"have poignancy jostling against farce , thoughtful dialogue elbowed aside by one-liners , and a visual style that incorporates rotoscope animation for no apparent reason except , maybe , that it looks neat . "
209,bother if you 're going to subjugate truth to the tear-jerking demands of soap opera 
210,"that , in their own idiosyncratic way , sum up the strange horror of life in the new millennium "
211,to shine through the gloomy film noir veil 
212,"nicolas cage is n't the first actor to lead a group of talented friends astray , and this movie wo n't create a ruffle in what is already an erratic career . "
213,can be distinguished from a mediocre one by the better film 's ability to make its subject interesting to those who are n't part of its supposed target audience . 
214,'s too interested in jerking off in all its byzantine incarnations to bother pleasuring its audience . 
215,page-turning 
216,is conversational bordering on confessional 
217,"was , as my friend david cross would call it , ` hungry-man portions of bad ' "
218,you should see this movie 
219,is how so many talented people were convinced to waste their time 
220,the under-7 crowd 
221,"gentle , lapping rhythms "
222,"a movie , a vampire soap opera that does n't make much "
223,a return ticket 
224,this slender plot feels especially thin stretched over the nearly 80-minute running time . 
225,"nothing left to work with , sort of like michael jackson 's nose "
226,of a physician who needs to heal himself 
227,a beautiful film to watch 
228,"starts out like heathers , then becomes bring it on , then becomes unwatchable "
229,if the laborious pacing and endless exposition had been tightened 
230,nothing more than the latest schwarzenegger or stallone 
231,salvation and good intentions 
232,is an oddly fascinating depiction of an architect of pop culture 
233,a thriller without thrills and a mystery devoid 
234,actors in bad bear suits enact a sort of inter-species parody of a vh1 behind the music episode 
235,is both a snore and utter tripe 
236,", uneven action comedy "
237,"laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , no such thing is a fascinating little tale . "
238,emerges as a surprisingly anemic disappointment 
239,you are likely to witness in a movie theater for some time 
240,surprisingly touching 
241,the greatest musicians 
242,"infuses it into a rustic , realistic , and altogether creepy tale of hidden invasion "
243,african american professionals 
244,style and flash 
245,for its rather slow beginning 
246,", remote , emotionally distant piece "
247,equals the original and in some ways even betters it 
248,was being attempted here that stubbornly refused to gel 
249,"for most movies , 84 minutes is short , but "
250,pass for a thirteen-year-old 's book report 
251,", the film would be a total washout . "
252,"a disaster of a story , full of holes and completely lacking in chills "
253,goofy pleasure 
254,", this quietly lyrical tale probes the ambiguous welcome extended by iran to the afghani refugees who streamed across its borders , desperate for work and food . "
255,you turn stupid 
256,"the problem , amazingly enough , is the screenplay . "
257,"the film has an infectious enthusiasm and we 're touched by the film 's conviction that all life centered on that place , that time and that sport "
258,that such a talented director as chen kaige 
259,be made on the cheap 
260,be tried as a war criminal 
261,", despite downplaying her good looks , carries a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff . "
262,"about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights "
263,his fake backdrops 
264,"too stagey , talky "
265,can both maintain and dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace 
266,is deadly dull 
267,make ` cherish ' a very good ( but not great ) movie 
268,the slow parade of human frailty fascinates you 
269,the talents of his top-notch creative team 
270,"witty , vibrant , and intelligent . "
271,annoying rather than charming 
272,a worthwhile moviegoing experience 
273,a great film noir 
274,at a snail 's pace 
275,every bad action-movie line 
276,"' dwells on crossing-over mumbo jumbo , manipulative sentimentality , and sappy dialogue . "
277,satisfying 
278,like `` horrible '' and `` terrible 
279,"offers an aids subtext , skims over the realities of gay sex , "
280,a compelling story of musical passion against governmental odds . 
281,it would be better as a diary or documentary 
282,the last days 
283,( and fairly unbelievable ) finale 
284,impressive talent 
285,dilutes the pleasure of watching them 
286,that it 's too close to real life to make sense 
287,"not quite as miraculous as its dreamworks makers would have you believe , but it more than adequately fills the eyes and stirs the emotions . "
288,despite modest aspirations its occasional charms are not to be dismissed . 
289,"friendship , "
290,"instead of a witty expose on the banality and hypocrisy of too much kid-vid , we get an ugly , mean-spirited lashing out by an adult who 's apparently been forced by his kids to watch too many barney videos . "
291,if you 're a fan of the series you 'll love it and probably want to see it twice . 
292,", ultimate x is the gabbiest giant-screen movie ever , bogging down in a barrage of hype . "
293,"proof of that on the cinematic front , look no further than this 20th anniversary edition of the film that spielberg calls "
294,"in other words , about as bad a film you 're likely to see all year . "
295,is an actress works as well as it does because ( the leads ) are such a companionable couple . 
296,is this so boring 
297,the heroes of horror movies try to avoid 
298,suspenseful 
299,"written , flatly , by david kendall and directed , barely , by there 's something about mary co-writer ed decter . "
300,is impressive 
301,is nothing distinguishing in a randall wallace film 
302,polished and vastly entertaining 
303,manages to accomplish what few sequels can -- it equals the original and in some ways even betters it 
304,"colorful , vibrant introduction "
305,"off the page , and for the memorable character creations "
306,"might to resist , if you 've got a place in your heart for smokey robinson "
307,"can only encourage us to see samira makhmalbaf as a very distinctive sensibility , working to develop her own film language with conspicuous success "
308,'s because relatively nothing happens 
309,could easily be called the best korean film of 2002 
310,", wit and interesting characters "
311,nearly all the fundamentals you take for granted in most films are mishandled here . 
312,inferior level 
313,pathetic exploitation film 
314,underneath such a mountain of clichés and borrowed images 
315,psychologically revealing 
316,it just did n't mean much to me and played too skewed to ever get a hold on ( or be entertained by ) . 
317,vein 
318,seems so larger than life and yet so fragile 
319,it is an engaging and exciting narrative of man confronting the demons of his own fear and paranoia 
320,the heat of the moment prevails . 
321,"the laramie project is worthwhile for reminding us that this sort of thing does , in fact , still happen in america "
322,"the direction occasionally rises to the level of marginal competence , but for most of the film it is hard to tell who is chasing who or why "
323,the fact that the film idiotically uses the website feardotcom.com or the improperly hammy performance from poor stephen rea 
324,pyrotechnics its punchy style promises 
325,gets the job done . 
326,"not only a pianist , but a good human being "
327,is too much like a fragment of an underdone potato . 
328,that graze the funny bone 
329,for two directors with far less endearing disabilities 
330,not falling into the hollywood trap and making a vanity project with nothing new to offer 
331,", others will find their humor-seeking dollars best spent elsewhere . "
332,there 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us . 
333,", solid , kinetically-charged spy flick worthy "
334,for no apparent reason except 
335,"even when it drags , we are forced to reflect that its visual imagination is breathtaking "
336,"a stylish but steady , and ultimately very satisfying , piece of character-driven storytelling "
337,visual virtues 
338,in world cinema 
339,disguise the fact that the new film is a lame kiddie flick and that carvey 's considerable talents are wasted in it 
340,with a wonderful ensemble cast of characters that bring the routine day to day struggles of the working class to life 
341,rated eee for excitement . 
342,the film a celluloid litmus test for the intellectual and emotional pedigree of your date and a giant step backward for a director i admire 
343,... a series of tales told with the intricate preciseness of the best short story writing . 
344,by no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act 
345,of moviegoers for real characters and compelling plots 
346,who have carved their own comfortable niche in the world 
347,to address his own world war ii experience in his signature style 
348,"fun and funny in the middle , though somewhat less "
349,high-concept films 
350,enjoy seeing how both evolve 
351,'s like rocky and bullwinkle on speed 
352,understated piece of filmmaking 
353,increasingly implausible as it races 
354,", the film gets added disdain for the fact that it is nearly impossible to look at or understand . "
355,"dazzling , remarkably unpretentious reminder "
356,more ambivalent set 
357,still fun and enjoyable 
358,"a crowd-pleaser , but then , "
359,that freshly considers arguments the bard 's immortal plays 
360,felt performances across the board . 
361,do n't blame eddie murphy but 
362,whimsical and relevant today 
363,that underscore the importance of family tradition and familial community 
364,"see her esther blossom as an actress , "
365,"really , really stupid "
366,'' derrida is an undeniably fascinating and playful fellow . 
367,sci-fi . 
368,"be ( assayas ' ) homage to the gallic ` tradition of quality , "
369,sleep-inducing 
370,served with a hack script 
371,a very good viewing alternative 
372,"an incredibly thoughtful , deeply meditative picture "
373,"the movie 's captivating details are all in the performances , from foreman 's barking-mad taylor to thewlis 's smoothly sinister freddie and bettany/mcdowell 's hard-eyed gangster . "
374,wannabe . 
375,'s rarely as moronic as some campus gross-out films 
376,not a stereotype is omitted nor a cliché left unsaid . 
377,for granted in most films are mishandled here 
378,that really gives the film its oomph 
379,does its sensitive handling of some delicate subject matter 
380,is never any question of how things will turn out 
381,director randall wallace 's flag-waving war flick with a core of decency 
382,frustration from those 
383,conflict 
384,watchable by a bravura performance 
385,has much to recommend it 
386,"` it 's painful to watch witherspoon 's talents wasting away inside unnecessary films like legally blonde and sweet home abomination , i mean , alabama . ' "
387,the pitch-perfect forster 
388,a must-see for fans of thoughtful war films and those 
389,it 's a masterpeice . 
390,plenty of entertainment value 
391,with all the dysfunctional family dynamics one could wish for 
392,built for controversy 
393,a pretty decent kid-pleasing 
394,sorvino makes the princess seem smug and cartoonish 
395,"seems uncertain whether it wants to be an acidic all-male all about eve or a lush , swooning melodrama in the intermezzo strain . "
396,tootsie knockoff . 
397,"though the aboriginal aspect lends the ending an extraordinary poignancy , and the story "
398,"spreads itself too thin , "
399,gives human nature its unique feel 
400,"the story , like ravel 's bolero , builds to a crescendo that encompasses many more paths than we started with . "
401,surprisingly funny movie 
402,collapses after 30 minutes into a slap-happy series 
403,"death , especially "
404,unexpectedly insightful 
405,it makes for one of the most purely enjoyable and satisfying evenings at the movies i 've had in a while . 
406,"by the time it 's done with us , mira nair 's new movie has its audience giddy with the delight of discovery , "
407,men in black ii achieves ultimate insignificance -- 
408,hmmm 
409,"drama , conflict , "
410,spider invasion comic chiller 
411,"'s fairly lame , making it par for the course for disney sequels . "
412,exciting and well-paced 
413,( gulpilil ) is a commanding screen presence 
414,"a strong and confident work which works so well for the first 89 minutes , but ends so horrendously confusing "
415,"a more confused , less interesting and more sloppily "
416,have developed some taste 
417,little emotional resonance 
418,both heartbreaking and heartwarming ... 
419,a much better mother-daughter tale 
420,an engrossing portrait of a man whose engaging manner and flamboyant style made him a truly larger-than-life character 
421,impress about e.t. 
422,is a frighteningly fascinating contradiction 
423,"illuminates what it means sometimes to be inside looking out , and at other times outside looking in . "
424,no foundation 
425,", touching , dramatically forceful , and beautifully shot "
426,rich tale 
427,from its sleazy moralizing 
428,too safe 
429,so much that one viewing ca n't possibly be enough 
430,that should appeal to anyone willing to succumb to it 
431,that gets under your skin 
432,has its rewards . 
433,soap-opera 
434,jams too many prefabricated story elements 
435,this alleged psychological thriller 
436,of the best films of the year 
437,oft-brilliant 
438,"fascinating , unnerving examination "
439,"... familiar and predictable , and 4/5ths of it might as well have come from a xerox machine rather than ( writer-director ) franc . "
440,i mind ugly 
441,has a sure hand 
442,"unfortunately , that 's precisely what arthur dong 's family fundamentals does . "
443,with nothing but a savage garden music video on his resume 
444,"mike white 's deft combination of serious subject matter and dark , funny humor make `` the good girl '' a film worth watching . "
445,"american and european cinema has amassed a vast holocaust literature , but it is impossible to think of any film more challenging or depressing than the grey zone . "
446,will you feel after an 88-minute rip-off of the rock with action confined to slo-mo gun firing and random glass-shattering 
447,heavy with flabby rolls of typical toback machinations . 
448,the film lacks momentum and its position remains mostly undeterminable 
449,that stalls in its lackluster gear of emotional blandness 
450,if it chiefly inspires you to drive a little faster 
451,is they have a tendency to slip into hokum 
452,"i thought the relationships were wonderful , the comedy was funny , and "
453,"a solid , spooky entertainment worthy of the price of a ticket "
454,significantly better 
455,wrong hands 
456,"cold , sterile and lacking any color or warmth "
457,you 're looking for an intelligent movie in which you can release your pent up anger 
458,"of the whole dead-undead genre , who deserve more from a vampire pic than a few shrieky special effects "
459,to do justice to either effort in three hours of screen time 
460,"it 's got all the familiar bruckheimer elements , and schumacher does probably as good a job as anyone at bringing off the hopkins/rock collision of acting styles and onscreen personas "
461,"a film really has to be exceptional to justify a three hour running time , and "
462,the whole thing never existed 
463,"before long , you 're desperate for the evening to end . "
464,politically charged 
465,"liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances "
466,effort to share his impressions of life and loss and time and art with us 
467,shallow and dim-witted 
468,that it 's almost worth seeing because it 's so bad 
469,critical backlash 
470,what a reckless squandering 
471,"it 's as if allen , at 66 , has stopped challenging himself . "
472,big-hearted and 
473,"terror by suggestion , rather than the overuse of special effects "
474,"sitting in the third row of the imax cinema at sydney 's darling harbour , but i sometimes felt as though i was in the tiny two seater plane that carried the giant camera around australia , sweeping and gliding , banking and hovering over some of the most not "
475,conjured up more coming-of-age stories than seem possible 
476,more evil than ever 
477,you feel fully embraced by this gentle comedy 
478,beloved-major 
479,"admirable energy , full-bodied characterizations and narrative urgency "
480,willingness to wander into the dark areas of parent-child relationships without flinching 
481,be churlish to begrudge anyone for receiving whatever consolation that can be found in dragonfly 
482,it feels like unrealized potential 
483,intriguing 
484,evokes the blithe rebel fantasy with the kind of insouciance embedded in the sexy demise of james dean . 
485,hole-ridden plotting 
486,"who , exactly , is fighting whom here "
487,"shot in rich , shadowy black-and-white , devils chronicles "
488,"brings to a spectacular completion one of the most complex , generous and subversive artworks of the last decade . "
489,consistency 
490,'s funniest and most likeable movie in years . 
491,"knows everything and answers all questions , is visually smart , cleverly written , and nicely realized "
492,you 've actually spent time living in another community 
493,is neither amusing nor dramatic enough to sustain interest 
494,"has a dashing and resourceful hero ; a lisping , reptilian villain ; big fights ; big hair ; lavish period scenery ; and a story just complicated enough to let you bask in your own cleverness as you figure it out . "
495,"spirit is a visual treat , and "
496,brilliantly constructed work 
497,war movies 
498,wedding feels a bit anachronistic . 
499,both convincing and radiant 
500,a very good ( but not great ) movie 
501,does n't quite go the distance 
502,wisdom and emotion 
503,... a good film that must have baffled the folks in the marketing department . 
504,the movie slides downhill as soon as macho action conventions assert themselves . 
505,", mind-numbingly , indescribably bad "
506,a treatise on spirituality as well as a solid sci-fi thriller 
507,"humble , teach and ultimately "
508,"that even a story immersed in love , lust , and sin could n't keep my attention "
509,", it 's a lyrical endeavor . "
510,spielberg 's first real masterpiece 
511,"stylish but steady , and ultimately very satisfying , "
512,half-baked setups and 
513,worldly-wise and very funny script 
514,a revealing look 
515,"cassavetes thinks he 's making dog day afternoon with a cause , but all he 's done is to reduce everything he touches to a shrill , didactic cartoon "
516,"are simultaneously buried , drowned and smothered in the excesses of writer-director roger avary "
517,"muddled , simplistic and more than a little pretentious . "
518,"settles in and becomes compulsively watchable in a guilty-pleasure , daytime-drama sort of fashion . "
519,better suited to a night in the living room than a night at the movies 
520,unique feel 
521,a résumé loaded with credits like `` girl in bar # 3 
522,most wondrously gifted artists 
523,dog 
524,rambles aimlessly 
525,to please audiences who like movies that demand four hankies 
526,of the summer 's most pleasurable movies 
527,"yes , but also intriguing and honorable , "
528,"particularly joyless , and "
529,so stupid 
530,ultimately it 's undone by a sloppy script 
531,this movie 's lack of ideas 
532,meaty subject 
533,"elegant and eloquent ( meditation ) on death and that most elusive of passions , love . "
534,"done , so primitive in technique , "
535,"fuddled about motives and context , which drains it of the dramatic substance that would shake us in our boots ( or cinema seats ) "
536,imaginative kid 's movie 
537,"an inuit masterpiece that will give you goosebumps as its uncanny tale of love , communal discord , and justice "
538,"a heartbreakingly thoughtful minor classic , the work of a genuine and singular artist . "
539,fairly revealing 
540,gratify anyone who has ever suspected hollywood of being overrun by corrupt and hedonistic weasels 
541,"about half of them are funny , a few are sexy and "
542,"it 's sweet and fluffy at the time , "
543,the year 's greatest adventure 
544,paid in full is remarkably engaging despite being noticeably derivative of goodfellas and at least a half dozen other trouble-in-the-ghetto flicks . 
545,grade 
546,that transcends culture and race 
547,has a bracing truth that 's refreshing after the phoniness of female-bonding pictures like divine secrets of the ya-ya sisterhood . 
548,while peppering the pages with memorable zingers 
549,"than an autopsy , the movie "
550,of elephant feces 
551,'s hard to imagine anybody ever being `` in the mood '' to view a movie as harrowing and painful as the grey zone 
552,movie love 
553,"do all three quite well , "
554,"because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel "
555,"from a summer of teen-driven , toilet-humor codswallop "
556,every conceivable mistake a director could make in filming opera 
557,", the weight of water is oppressively heavy . "
558,the refugees able to look ahead and resist living in a past 
559,"i had a dream that a smart comedy would come along to rescue me from a summer of teen-driven , toilet-humor codswallop , "
560,accept it as life and go with its flow 
561,to lawrence 's over-indulgent tirade 
562,seem less of a trifle if ms. sugarman followed through on her defiance of the saccharine 
563,"exquisite , unfakable sense "
564,striking 
565,at best and mind-destroying cinematic pollution 
566,second fiddle 
567,cold movie 
568,still fun and enjoyable and 
569,undramatic 
570,"what 's not to like about a movie with a ` children 's ' song that includes the line ` my stepdad 's not mean , he 's just adjusting ' ? "
571,overly old-fashioned 
572,bogdanovich puts history in perspective 
573,every bit as imperious as katzenberg 's the prince of egypt from 1998 . 
574,"occasionally flawed , "
575,depressed 
576,any insight 
577,color and creativity 
578,mr. nelson has made a film that is an undeniably worthy and devastating experience . 
579,"is so busy making reference to other films and trying to be other films that it fails to have a heart , mind or humor of its own "
580,laughs aplenty 
581,far-flung 
582,standout 
583,waster ' 
584,"is genial but never inspired , and little "
585,struggle furiously 
586,"ends up being neither , and fails at both endeavors . "
587,'s not that funny 
588,surgeon mends 
589,vile enough 
590,"undermined by the movie 's presentation , which is way too stagy "
591,only scratches the surface 
592,"and your reward will be a thoughtful , emotional movie experience . "
593,ticks off kahlo 's lifetime milestones with the dutiful precision of a tax accountant 
594,"a cheap thriller , a dumb comedy "
595,"'d probably turn it off , "
596,a fierce dance 
597,a snore and utter tripe 
598,uncanny ability to right itself precisely when you think it 's in danger of going wrong 
599,well-paced and 
600,usual worst 
601,"off the hook is overlong and not well-acted , but credit writer-producer-director adam watstein with finishing it at all . "
602,creates a fluid and mesmerizing sequence of images to match the words of nijinsky 's diaries 
603,setting distracts 
604,five screenwriters are credited with the cliché-laden screenplay ; it seems as if each watered down the version of the one before . 
605,outshined 
606,a sincere performance 
607,"jumps around with little logic or continuity , presenting backstage bytes of information that never amount to a satisfying complete picture of this particular , anciently demanding métier . "
608,a beautifully 
609,that the only rip off that we were aware of 
610,exciting documentary . 
611,", you 'll like promises . "
612,who might otherwise go unnoticed and underappreciated by music fans 
613,impassive a manner 
614,"a dazzling , remarkably unpretentious reminder of what ( evans ) had , lost , and got back "
615,and satirical touches 
616,where people who have never picked a lock do so easily after a few tries and become expert fighters after a few weeks 
617,built-in audience 
618,", from the incongruous but chemically "
619,mobius strip 
620,joyous life 
621,directors abandon their scripts and go where the moment takes them 
622,"the hook is the drama within the drama , as an unsolved murder and an unresolved moral conflict jockey for the spotlight . "
623,the perfect face to play a handsome blank yearning to find himself 
624,it is supremely unfunny and unentertaining to watch middle-age and 
625,is that it 's a rock-solid little genre picture 
626,good ear 
627,"bright young men -- promising , talented , charismatic and tragically "
628,"familiar , funny "
629,more outre aspects 
630,hate to tear your eyes away from the images long enough to read the subtitles 
631,a thoroughly awful movie 
632,falls to the floor with a sickening thud 
633,"more of the same from taiwanese auteur tsai ming-liang , which is good news to anyone who 's fallen under the sweet , melancholy spell of this unique director 's previous films . "
634,roman polanski may have been born to make 
635,"deftly setting off uproarious humor with an underlying seriousness that sneaks up on the viewer , providing an experience that is richer than anticipated . "
636,"an unholy mess , "
637,puts enough salt into the wounds of the tortured and self-conscious material 
638,a moving story 
639,a bland animated sequel 
640,that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer 
641,boasts enough funny dialogue and sharp characterizations to be mildly amusing . 
642,suspect that you 'll be as bored watching morvern callar as the characters are in it 
643,cutting hollywood satire 
644,the journey is such a mesmerizing one 
645,a good idea 
646,are relegated to the background -- a welcome step forward from the sally jesse raphael atmosphere of films like philadelphia and american beauty . 
647,snide and prejudice 
648,"while centered on the life experiences of a particular theatrical family , this marvelous documentary touches -- ever so gracefully -- on the entire history of the yiddish theater , both in america and israel . "
649,unbalanced mixture 
650,just a string 
651,film to affirm love 's power to help people endure almost unimaginable horror 
652,too clumsy in key moments ... to make a big splash . 
653,engaging and intimate 
654,beautifully produced . 
655,nothing interesting in unfaithful 
656,the humor has point 
657,"lack a strong-minded viewpoint , or a sense of humor . "
658,"cold , nervy and memorable "
659,really cool bit 
660,a fantastically vital movie 
661,"nothing wrong with performances here , but the whiney characters bugged me . "
662,"the movie is n't painfully bad , something to be ` fully experienced ' ; it 's just tediously bad , something to be fully forgotten "
