id,text
66,"low-grade dreck that usually goes straight to video -- with a lousy script , inept direction , pathetic acting , poorly dubbed dialogue and murky cinematography "
67,"the work of an exhausted , desiccated talent who ca n't get out of his own way "
68,"a more credible script , "
69,trapped 
70,demonstrates a breadth of vision and an attention to detail that propels her into the upper echelons of the directing world 
71,flavor and spice 
72,the picture is so lovely toward the end 
73,despicable characters 
74,all the bad things 
75,gives the lie 
76,the year 's best films 
77,too much 
78,an earnest study in despair 
79,"leave it to john sayles to take on developers , the chamber of commerce , tourism , historical pageants , and commercialism all in the same movie ... without neglecting character development for even one minute "
80,"his brawny frame and cool , composed delivery "
81,"'s simply stupid , irrelevant and deeply , truly , bottomlessly cynical "
82,"an incredibly heavy-handed , manipulative dud "
83,a bracing truth that 's refreshing after the phoniness of female-bonding pictures like divine secrets of the ya-ya sisterhood 
84,that ultimately coheres into a sane and breathtakingly creative film 
85,"showing us well-thought stunts or a car chase that we have n't seen 10,000 times "
86,strikingly devious 
87,"is philosophy , illustrated through everyday events "
88,cliched and contrived that it makes your least favorite james bond movie seem as cleverly plotted as the usual suspects 
89,hollywood fluff 
90,"was feeling this movie until it veered off too far into the exxon zone , and left me behind at the station looking for a return ticket to realism "
91,is simply a lazy exercise in bad filmmaking that asks you to not only suspend your disbelief but your intelligence as well . 
92,"delightfully unpredictable , hilarious "
93,mr. deeds '' is suitable summer entertainment that offers escapism without requiring a great deal of thought . 
94,impostor deviously adopts the guise of a modern motion picture 
95,a brilliant college student 
96,"as is often the case with ambitious , eager first-time filmmakers , mr. murray , a prolific director of music videos , stuffs his debut with more plot than it can comfortably hold . "
97,friendly kick 
98,is never clear . 
99,takes no apparent joy 
100,created a beautiful canvas 
101,"though filmed partly in canada , paid in full has clever ways of capturing inner-city life during the reagan years . "
102,cremaster 3 '' should come with the warning `` for serious film buffs only ! '' 
103,to capture the chaos of france in the 1790 's 
104,", and among the best films of the year . "
105,aims for poetry and ends up sounding like satire 
106,deep deceptions 
107,pretty weary 
108,"its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh "
109,an all-around good time at the movies this summer 
110,entertaining and audacious moments 
111,", it is not enough to give the film the substance it so desperately needs . "
112,lightweight filmmaking 
113,"we 've seen ( eddie ) murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed "
114,"assured , vital and well wrought , the film is , arguably , the most accomplished work to date from hong kong 's versatile stanley kwan . "
115,"more of the same from taiwanese auteur tsai ming-liang , which is good news to anyone who 's fallen under the sweet , melancholy spell of this unique director 's previous films "
116,flow through the hollywood pipeline without a hitch 
117,", nutty , consistently funny . "
118,a kick out of goofy brits 
119,signs is just another unoriginal run of the mill sci-fi film with a flimsy ending and lots of hype . 
120,"is so convinced of its own brilliance that , if it were a person , you 'd want to smash its face in "
121,good film 
122,bitter nor sweet 
123,the most ordinary and obvious fashion 
124,appear foolish and shallow 
125,the novel charm 
126,'s good enough to be the purr 
127,crafted a solid formula for successful animated movies 
128,of continuity errors 
129,"definitive , if disingenuous , "
130,numbness . 
131,"a few nonbelievers may rethink their attitudes when they see the joy the characters take in this creed , but skeptics are n't likely to enter the theater . "
132,are very expressive . 
133,"fuddled about motives and context , which drains it of the dramatic substance that would shake us in our boots ( or cinema seats ) "
134,"the film , while it 's not completely wreaked "
135,the animated sequences are well done and perfectly constructed to convey a sense of childhood imagination 
136,soon-to-be-forgettable '' section 
137,is this films reason for being . 
138,the film is full of charm . 
139,this film biggest problem 
140,just copies 
141,"an eerily suspenseful , deeply absorbing piece that works as a treatise on spirituality as well as a solid sci-fi thriller "
142,deserves an oscar nomination . 
143,"famuyiwa 's feature deals with its subject matter in a tasteful , intelligent manner , rather than forcing us to endure every plot contrivance that the cliché-riddled genre can offer . "
144,something of a triumph 
145,a thriller 
146,how to suffer ' 
147,chase to end all chases 
148,of being a good documentarian 
149,"it was , as my friend david cross would call it , ` hungry-man portions of bad ' "
150,nothing at the core of this slight coming-of-age/coming-out tale 
151,"riveted with every painful nuance , unexpected flashes of dark comedy and the character 's gripping humanity "
152,it 's fairly solid -- not to mention well edited so that it certainly does n't feel like a film that strays past the two and a half mark . 
153,", it 's still a sweet , even delectable diversion . "
154,like the rock on a wal-mart budget 
155,"know why steven seagal is considered a star , nor why he keeps being cast in action films when none of them are ever any good or make any money "
156,a fantastically vital movie 
157,interest onscreen 
158,awesome 
159,tortured and 
160,the film to affirm love 's power to help people endure almost unimaginable horror 
161,"director lee has a true cinematic knack , but it 's also nice to see a movie with its heart so thoroughly , unabashedly on its sleeve . "
162,drive past -- even if it chiefly inspires you to drive a little faster 
163,the group 's playful spark of nonconformity 
164,"too much of the movie feels contrived , as if the filmmakers were worried the story would n't work without all those gimmicks . "
165,must be said that he is an imaginative filmmaker who can see the forest for the trees . 
166,show the gentle and humane side of middle eastern world politics 
167,all menace and atmosphere 
168,it seem fresh again 
169,an opportunity missed . 
170,a good-hearted ensemble comedy with a variety of quirky characters and an engaging story 
171,a terrific date movie 
172,i know better than to rush to the theater for this one 
173,performing ages-old slapstick and unfunny tricks 
174,"horrifyingly , ever "
175,"sensuality , and sympathy into a story about two adolescent boys . "
176,"the structure is simple , but in its own way , rabbit-proof fence is a quest story as grand as the lord of the rings "
177,"'ve never seen ( a remake ) do anything as stomach-turning as the way adam sandler 's new movie rapes , pillages and incinerates frank capra 's classic ... "
178,a festival film that would have been better off staying on the festival circuit 
179,", knockaround guys rarely seems interested in kicking around a raison d'etre that 's as fresh-faced as its young-guns cast . "
180,a therapeutic zap of shock treatment 
181,the writing and direction to the soggy performances 
182,to set the women 's liberation movement back 20 years 
183,hard pressed to succumb to the call of the wild 
184,a dashing and resourceful hero 
185,charlotte sometimes is a gem . 
186,an uneven film for the most part 
187,"devastated by war , famine and poverty and "
188,this quality band may pick up new admirers 
189,meandering and pointless french coming-of-age import from writer-director anne-sophie birot 
190,give a second look if we passed them on the street 
191,that celebi could take me back to a time before i saw this movie 
192,torture and 
193,", this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their *** off for an hour-and-a-half . "
194,at the station looking for a return ticket to realism 
195,very stupid and annoying 
196,"enters a realm where few non-porn films venture , and comes across as darkly funny , energetic , and surprisingly gentle . "
197,using them as punching bags 
198,a modest masterpiece . 
199,"for independence , complete with loads of cgi and bushels of violence , but not a drop of human blood "
200,is a total misfire 
201,", it eventually works its way up to merely bad rather than painfully awful . "
202,made the full monty a smashing success 
203,"in short , is n't nearly as funny as it thinks it is "
204,mental illness 
205,help this movie one bit 
206,its shortcomings 
207,"done , so primitive in technique , "
208,"the filmmakers ' paws , sad to say , "
209,a story about intelligent high school students that deals with first love sweetly but also seriously . 
210,how ridiculous and money-oriented the record industry really is 
211,affectingly 
212,"the movie , shot on digital videotape rather than film , is frequently indecipherable "
213,to the brim with ideas 
214,the eyes of some children who remain curious about each other against all odds 
215,"keep a family of five blind , crippled , amish people alive in this situation "
216,uncomfortable class resentment 
217,the most entertaining bonds in years 
218,some weird relative trots out the video he took of the family vacation to stonehenge 
219,inquisitive film 
220,"utilizes the idea of making kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work . "
221,was utterly charming 
222,you sweat 
223,"sand 's masculine persona , with its love of life and beauty "
224,reno devolves into a laugh-free lecture . 
225,mechanical you can smell the grease on the plot 
226,past a child 's interest and an adult 's patience 
227,before some savvy producer saw the potential success inherent in the mixture of bullock bubble and hugh goo 
228,looks like a drag queen 
229,is a movie where the most notable observation is how long you 've been sitting still 
230,often surprising twists and an intermingling of naiveté and sophistication 
231,", you come to believe that nachtwey hates the wars he shows and empathizes with the victims he reveals . "
232,daring 
233,a late-inning twist that just does n't make sense 
234,"e.t. works because its flabbergasting principals , 14-year-old robert macnaughton , 6-year-old drew barrymore and 10-year-old henry thomas , convince us of the existence of the wise , wizened visitor from a faraway planet . "
235,of an authentic feel 
236,crippled 
237,the bard as black comedy -- willie would have loved it . 
238,"a tired , unnecessary retread "
239,wise and deadpan humorous . 
240,also represents glossy hollywood at its laziest . 
241,"... flat-out amusing , sometimes endearing and often fabulous , with a solid cast , noteworthy characters , delicious dialogue and a wide supply of effective sight gags . "
242,"are both superb , while huppert ... is magnificent . "
243,impersonal and abstract 
244,one that is presented with great sympathy and intelligence 
245,like mike shoots and scores 
246,"a movie that will surely be profane , politically charged music to the ears of cho 's fans . "
247,hmmm 
248,zips along with b-movie verve while adding the rich details and go-for-broke acting that heralds something special . 
249,being very funny 
250,exhibits the shallow sensationalism characteristic of soap opera 
251,ca n't save it 
252,between flaccid satire and what 
253,'m not sure which will take longer to heal : the welt on johnny knoxville 's stomach from a riot-control projectile or my own tortured psyche . 
254,would anyone cast the magnificent jackie chan in a movie full of stunt doubles and special effects 
255,every bit as imperious as katzenberg 's the prince of egypt from 1998 . 
256,riveting set pieces 
257,filter out the complexity 
258,"you go into the theater expecting a scary , action-packed chiller "
259,a snore and utter tripe 
260,this ill-conceived and expensive project 
261,african american professionals 
262,it 's that painful . 
263,the u.s. 
264,"'s a testament to the film 's considerable charm that it succeeds in entertaining , despite playing out like a feature-length sitcom replete with stereotypical familial quandaries . "
265,"like all of egoyan 's work , ararat is fiercely intelligent and uncommonly ambitious . "
266,deadly dull 
267,"i enjoyed the movie in a superficial way , while never sure what its purpose was . "
268,hard to say who might enjoy this 
269,"if we sometimes need comforting fantasies about mental illness , we also need movies like tim mccann 's revolution no. 9 . "
270,about issues most adults have to face in marriage 
271,what should have been a painless time-killer becomes instead a grating endurance test . 
272,"it throws quirky characters , odd situations , and off-kilter dialogue at us , all as if to say , `` look at this ! "
273,"when the fire burns out , we 've only come face-to-face with a couple dragons and that 's where the film ultimately fails . "
274,in narcissism and self-congratulation disguised as a tribute 
275,like a medium-grade network sitcom -- mostly inoffensive 
276,'s almost worth seeing because it 's so bad 
277,"it with ring , "
278,seems suited neither to kids or adults . 
279,on three short films and two features 
280,a fascinating character study with laughs 
281,technically sumptuous but also almost wildly alive 
282,'s pleasant enough -- and oozing with attractive men 
283,neither amusing nor dramatic enough to sustain interest 
284,swallow thanks to remarkable performances 
285,", sloppy "
286,to use the word `` new '' in its title 
287,does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets . 
288,"terror by suggestion , rather than the overuse of special effects "
289,proves once again that a man in drag is not in and of himself funny . 
290,"comes from the brave , uninhibited performances "
291,a very good viewing alternative 
292,a valiant attempt to tell a story about the vietnam war before the pathology set in 
293,movie sputters 
294,no-surprise 
295,"well-acted , well-directed and , for all its moodiness , not too "
296,idol 's 
297,this unrelenting bleak insistence on opting out of any opportunity for finding meaning in relationships or work 
298,ability to take what is essentially a contained family conflict and put it into a much larger historical context 
299,attracting audiences to unfaithful 
300,to probe questions of attraction and interdependence 
301,the only thing scary about feardotcom 
302,( improvised over many months ) and for conveying the way tiny acts of kindness make ordinary life survivable 
303,"bring fresh , unforced naturalism to their characters "
304,"as a very distinctive sensibility , working to develop her own film language with conspicuous success "
305,rekindles 
306,compelling 
307,"a shimmeringly lovely coming-of-age portrait , shot in artful , watery tones of blue , green and brown . "
308,shows he can outgag any of those young whippersnappers making moving pictures today . 
309,"the gifted crudup has the perfect face to play a handsome blank yearning to find himself , and "
310,'re going to feel like you were n't invited to the party . 
311,has its rewards . 
312,"using a stock plot , about a boy injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater . "
313,the incessant use of cell phones 
314,chases for an hour and then 
315,drifts aimlessly 
316,enormously enjoyable 
317,cho 's latest comic set is n't as sharp or as fresh as i 'm the one that i want 
318,the lack of naturalness makes everything seem self-consciously poetic and forced ... 
319,"the characters in swimfan seem motivated by nothing short of dull , brain-deadening hangover . "
320,merchandised-to-the-max 
321,moonlight mile gives itself the freedom to feel contradictory things . 
322,corrupt and hedonistic weasels 
323,off-beat and fanciful 
324,"a fine , rousing , g-rated family film , "
325,deep as a petri dish 
326,lame 
327,let the subtitles fool you 
328,who is too crazy to be interesting 
329,"a delightfully unpredictable , hilarious comedy with wonderful performances that tug at your heart in ways that utterly transcend gender labels . "
330,could use a little more humanity 
331,potential success 
332,offers rare insight 
333,"predominantly amateur cast is painful to watch , so stilted and unconvincing "
334,invested in undergraduate doubling subtexts and ridiculous stabs 
335,we find ourselves surprised at how much we care about the story 
336,smokers only 
337,falling short as a whole 
338,big bad love 
339,"if you 've a taste for the quirky , steal a glimpse "
340,"'s also nice to see a movie with its heart so thoroughly , unabashedly on its sleeve "
341,a delicious crime drama on par 
342,pays earnest homage to turntablists 
343,"with very little to add beyond the dark visions already relayed by superb recent predecessors like swimming with sharks and the player , this latest skewering "
344,a chore to sit through -- despite some first-rate performances by its lead 
345,organic intrigue 
346,"garcía bernal and talancón are an immensely appealing couple , and "
347,tell you 
348,a few other decent ones 
349,"serious re-working to show more of the dilemma , rather than have his characters stage shouting "
350,it deserves to be seen everywhere . 
351,creepy and vague 
352,to its ultimate demise 
353,hold our attention 
354,that the typical hollywood disregard for historical truth and realism is at work here 
355,to remember 
356,impressive performances 
357,of beautiful movement and inside information 
358,our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender -- and 
359,"contrived , well-worn situations "
360,gawky 
361,the balance between the fantastic and the believable 
362,"despite terrific special effects and funnier gags , harry potter and the chamber of secrets finds a way to make j.k. rowling 's marvelous series into a deadly bore . "
363,to go down with a ship as leaky as this 
364,"helpful to listen to extremist name-calling , regardless of whether you think kissinger was a calculating fiend or just a slippery self-promoter "
365,"`` catch me '' feels capable of charming the masses with star power , a pop-induced score and sentimental moments that have become a spielberg trademark . "
366,generates by orchestrating a finale that is impenetrable and dull 
367,it 's worth seeing 
368,turning into a black hole of dullness 
369,"peralta captures , in luminous interviews and amazingly evocative film from three decades ago , the essence of the dogtown experience . "
370,well-paced and 
371,marks the spot . 
372,pill to swallow 
373,one of our best actors 
374,can be viewed as pure composition and form -- 
375,"pointed , often tender , examination "
376,"ice cube is n't quite out of ripe screwball ideas , but friday after next spreads them pretty thin "
377,surprisingly well 
378,than losers 
379,absorbing 
380,tears welled up in my eyes both times 
381,utterly pointless 
382,"some of the characters die and others do n't , and the film pretends that those living have learned some sort of lesson , "
383,offers an interesting look at the rapidly changing face of beijing . 
384,far more meaningful 
385,"has little to do with the story , "
386,ultimately delivers 
387,"a waterlogged version of ` fatal attraction ' for the teeny-bopper set ... a sad , soggy potboiler that wastes the talents of its attractive young leads . "
388,languorous charm 
389,of its pretensions 
390,one-sided 
391,beautiful scene 
392,"fifty years after the fact , the world 's political situation seems little different , and ( director phillip ) noyce brings out the allegory with remarkable skill . "
393,a really special walk 
394,we 'd live in if argento 's hollywood counterparts ... had this much imagination and nerve 
395,"an energetic , violent movie with a momentum that never lets up "
396,deserve but rarely receive it 
397,of awakening and ripening 
398,argentinean ` dramedy ' 
399,spy action flick with antonio banderas and lucy liu never comes together . 
400,keep the movie slaloming through its hackneyed elements with enjoyable ease 
401,straining to get by on humor that is not even as daring as john ritter 's glory days on three 's company . 
402,"the ensemble cast , the flat dialogue by vincent r. nebrida or "
403,shines bright on this frozen tundra soap opera that breathes extraordinary life into the private existence of the inuit people . 
404,enjoyed as a work of fiction inspired by real-life events 
405,of this dog of a movie 
406,drains it 
407,give it a marginal thumbs up 
408,seems to play on a 10-year delay 
409,'s betting her third feature will be something to behold 
410,paid in full is remarkably engaging despite being noticeably derivative of goodfellas and at least a half dozen other trouble-in-the-ghetto flicks . 
411,"makes the same mistake as the music industry it criticizes , becoming so slick and watered-down it almost loses what made you love it in the first place . "
412,accept it as life and 
413,bogdanovich taps deep into the hearst mystique 
414,11 times too many 
415,dark little morality tale 
416,manner and flamboyant style 
417,serious movie-goers embarking upon this journey 
418,even more unmentionable subjects seem like mere splashing around in the muck 
419,the film is a verbal duel between two gifted performers . 
420,"fare , with enough "
421,pump life into overworked elements from eastwood 's dirty harry period 
422,'s not that funny -- which is just generally insulting . 
423,"when twentysomething hotsies make movies about their lives , hard-driving narcissism is a given , but what a world we 'd live in if argento 's hollywood counterparts ... had this much imagination and nerve "
424,"seen in a while , a meander through worn-out material "
425,"take care is nicely performed by a quintet of actresses , "
426,two guys who desperately want to be quentin tarantino when they grow up 
427,the verdict : two bodies and hardly a laugh between them . 
428,ca n't recommend it . 
429,"to wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers "
430,"loses its fire midway , "
431,understands the workings of its spirit 
432,lacks it 
433,provide the funniest moments in this oddly sweet comedy about jokester highway patrolmen 
434,vividly 
435,it 's kind of sad that so many people put so much time and energy into this turkey . 
436,so many merchandised-to-the-max movies 
437,a metaphor for a modern-day urban china searching for its identity . 
438,"the obligatory outbursts of flatulence and the incessant , so-five-minutes-ago pop music on the soundtrack "
439,to lowly studio hack 
440,"a smart , steamy mix "
441,"work -- is charming , "
442,it 's rare to find a film to which the adjective ` gentle ' applies 
443,"'s mildly entertaining , "
444,contest to see who can out-bad-act the other 
445,toothless dog 
446,"can only encourage us to see samira makhmalbaf as a very distinctive sensibility , working to develop her own film language with conspicuous success "
447,'ve seen the hippie-turned-yuppie plot before 
448,told and retold 
449,most at women 's expense 
450,"though it goes further than both , anyone who has seen the hunger or cat people will find little new here , but a tasty performance from vincent gallo lifts this tale of cannibal lust above the ordinary . "
451,an engrossing story about a horrifying historical event and the elements which contributed to it 
452,great idea 
453,its rawness and vitality give it considerable punch . 
454,does n't mean you wo n't like looking at it 
455,try hard but 
456,cowardly 
457,is an unpleasantly shallow and immature character with whom to spend 110 claustrophobic minutes 
458,-- but still quite tasty and inviting all the same 
459,'n safe as to often play like a milquetoast movie of the week blown up for the big screen . 
460,"a single man 's struggle to regain his life , his dignity and his music "
461,an interesting and at times captivating take on loss and loneliness . 
462,brosnan is more feral in this film than i 've seen him before and halle berry does her best to keep up with him 
463,the wonderfully lush morvern callar 
464,needless chase scenes and swordfights as the revenge unfolds 
465,"gets vivid , convincing performances "
466,has some special qualities and the soulful gravity of crudup 's anchoring performance . 
467,pushing the jokes at the expense of character until things fall apart 
468,the animated sequences are well done and perfectly constructed to convey a sense of childhood imagination and creating adventure out of angst . 
469,works against itself 
470,"a classy , sprightly spin on film "
471,and social commentary 
472,does a film so graceless and devoid of merit as this one come along 
473,this kiddie-oriented stinker is so bad that i even caught the gum stuck under my seat trying to sneak out of the theater 
474,it is n't much fun . 
475,utter sincerity 
476,this version is raised a few notches above kiddie fantasy pablum by allen 's astringent wit . 
477,done his homework 
478,a wind-tunnel and a simply astounding cor-blimey-luv-a-duck cockney accent 
479,even felinni would know what to make of this italian freakshow . 
480,comfy 
481,"just consider what new best friend does not have , beginning with the minor omission of a screenplay . "
482,titillating material 
483,"schaeffer is n't in this film , which may be why it works as well as it does . "
484,a feel movie 
485,"it 's so poorly made , on all levels , that it does n't even qualify as a spoof of such "
486,brought back the value and respect for the term epic cinema 
487,inventive screenplay 
488,the wonderful acting clinic put on by spader and gyllenhaal 
489,the obnoxious special effects 
490,( `` take care of my cat '' ) is an honestly nice little film that takes us on an examination of young adult life in urban south korea through the hearts and minds of the five principals . 
491,a wannabe comedy of manners about a brainy prep-school kid with a mrs. robinson complex founders on its own preciousness -- and squanders its beautiful women . 
492,") do anything as stomach-turning as the way adam sandler 's new movie rapes , pillages and incinerates frank capra 's classic "
493,( hell is ) looking down at your watch and realizing serving sara is n't even halfway through . 
494,a little underconfident 
495,its premise is smart 
496,do justice to either effort in three hours of screen time 
497,if the poor quality of pokemon 4 ever is any indication 
498,", queen of the damned is a pointless , meandering celebration of the goth-vampire , tortured woe-is-me lifestyle . "
499,because it plays everything too safe 
500,the e-graveyard 
501,"stirring , "
502,a no-holds-barred cinematic treat . 
503,would have a résumé loaded with credits like `` girl in bar # 3 . '' 
504,"it 's hard to say who might enjoy this , are there tolstoy groupies out there ? "
505,a romance this smart 
506,a wonderfully warm human drama that remains vividly in memory long 
507,the absurdity of the premise 
508,"no rest period , no timeout "
509,a low-budget series on a uhf channel 
510,sick and demented humor 
511,fiji diver rusi vulakoro and the married couple howard and michelle hall ) 
512,old-fashioned storytelling 
513,"a sun-drenched masterpiece , part parlor game , part psychological case study "
514,a thoughtful what-if for the heart as well as the mind 
515,a film of ideas and wry comic mayhem 
516,devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu 
517,emotionally intense 
518,about as inspiring 
519,crafted a deceptively casual ode 
520,quite possibly the sturdiest example yet 
521,an entertainment destination for the general public 
522,conjured up more coming-of-age stories than seem possible 
523,cleverly captures the dry wit that 's so prevalent on the rock 
524,it is about a domestic unit finding their way to joy 
525,"goth-vampire , tortured woe-is-me lifestyle "
526,"the three leads produce adequate performances , but what 's missing from this material is any depth of feeling . "
527,balances both traditional or modern stories together in a manner that one never overwhelms the other . 
528,think of this dog of a movie 
529,"` god help us , but capra and cooper are rolling over in their graves . ' "
530,into parapsychological phenomena and the soulful nuances 
531,rambling incoherence 
532,"as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story "
533,takes hold and grips hard 
534,on and on to the point of nausea 
535,that might otherwise separate them 
536,"the filmmaker 's extraordinary access to massoud , "
537,"in creating an emotionally complex , dramatically satisfying heroine "
538,"dickens ' wonderfully sprawling soap opera , the better "
539,the boat loads of people who try to escape the country 
540,to create an engaging story that keeps you guessing at almost every turn 
541,most of the dialogue made me want to pack raw dough in my ears . 
542,so bad 
543,becoming a better person through love 
544,are totally estranged from reality 
545,involving than this mess 
546,"entirely appropriately , the tale unfolds like a lazy summer afternoon and concludes with the crisp clarity of a fall dawn . "
547,"is nothing compared to the movie 's contrived , lame screenplay and listless direction "
548,a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . 
549,pretend like your sat scores are below 120 and 
550,satisfying during a summer of event movies than a spy thriller like the bourne identity that 's packed with just as much intelligence as action 
551,", featuring an oscar-worthy performance by julianne moore . "
552,endearing about it . 
553,a lump of play-doh 
554,"animation back 30 years , musicals back 40 years and "
555,great actors 
556,are in tatters 
557,have a story and a script 
558,"will be delighted with the fast , funny , and even touching story . "
559,"fails in making this character understandable , in getting under her skin , in exploring motivation ... well before the end "
560,put off by the film 's austerity 
561,a bold ( and lovely ) experiment that will 
562,"a boring , pretentious muddle that uses a sensational , real-life 19th-century crime as a metaphor for -- well , i 'm not exactly sure what -- and has all the dramatic weight of a raindrop . "
563,"has the twinkling eyes , repressed smile and determined face needed to carry out a dickensian hero . "
564,"terrible , banal dialogue ; convenient , hole-ridden plotting ; "
565,"not only a pianist , but a good human being "
566,significantly better 
567,climate 
568,"and second , what 's with all the shooting ? "
569,psychopathic 
570,"if you 're part of her targeted audience , you 'll cheer . "
571,in jerking off in all its byzantine incarnations to bother pleasuring its audience 
572,highly polished 
573,it drags during its 112-minute length 
574,delivers an inspired portrait of male-ridden angst and the emotional blockage that accompanies this human condition 
575,feeling like you 've seen a movie instead of an endless trailer 
576,then by all means check it out . 
577,proves unrelentingly grim -- and equally engrossing . 
578,yet permits laughter 
579,keenest pleasures 
580,not funny performers 
581,'s also disappointing to a certain degree 
582,spousal abuse 
583,a fairly enjoyable mixture of longest yard ... and the 1999 guy ritchie caper lock stock and two smoking barrels . 
584,smug self-satisfaction 
585,"could use more of : spirit , perception , conviction "
586,spectacularly ugly-looking 
587,haute 
588,been smoother or more confident 
589,sets the film apart is debrauwer 's refusal to push the easy emotional buttons 
590,emerges with yet another remarkable yet shockingly little-known perspective 
591,put together a bold biographical fantasia 
592,exasperating 
593,'s just one that could easily wait for your pay per view dollar 
594,raw urban humor 
595,peak 
596,"is better than any summer blockbuster we had to endure last summer , and hopefully , sets the tone for a summer of good stuff "
597,corny sentimentality 
598,"shiri is an action film that delivers on the promise of excitement , but it also has a strong dramatic and emotional pull that gradually sneaks up on the audience . "
599,"into the script , which has a handful of smart jokes "
600,spooky and subtly 
601,amounts to surprisingly little 
602,offers some flashy twists and turns that occasionally fortify this turgid fable . 
603,brutal and 
604,"is a monumental achievement in practically every facet of inept filmmaking : joyless , idiotic , annoying , heavy-handed , visually atrocious , and often downright creepy . "
605,the self-destructiveness of many young people 
606,"the bourne identity should n't be half as entertaining as it is , but director doug liman and his colleagues have managed to pack it with enough action to satisfy the boom-bam crowd without a huge sacrifice of character and mood . "
607,sometimes tedious 
608,above most of its ilk 
609,defeats the possibility of creating a more darkly edged tome 
610,to care about 
611,is matched only by the ridiculousness of its premise 
612,", this movie is a phlegmatic bore , so tedious it makes the silly spy vs. spy film the sum of all fears , starring ben affleck , seem downright hitchcockian . "
613,"ill-equipped to examine , the interior lives of the characters in his film , much less incorporate them into his narrative "
614,"sordid of human behavior on the screen , "
615,game supporting cast 
616,'s also undeniably exceedingly clever 
617,", it could be a lot better if it were , well , more adventurous . "
618,the gloss 
619,the-night 
620,coen brothers 
621,a wannabe comedy of manners about a brainy prep-school kid with a mrs. robinson complex 
622,"cheap , graceless , hackneyed "
623,cinematic experience 
624,a cute alien creature who mimics everyone and everything around 
625,lovingly 
626,on a striking new significance for anyone who sees the film 
627,an awkward hybrid of genres that just does n't work 
